"Date","Price","Open","High","Low","Change %"
"05/08/2026","11.105","11.122","11.122","11.105","-0.15%"
"05/07/2026","11.122","11.122","11.122","11.122","0.00%"
"05/06/2026","11.122","11.122","11.122","11.122","0.20%"
"05/05/2026","11.100","11.100","11.100","11.100","0.00%"
"05/04/2026","11.100","11.100","11.100","11.100","0.00%"
"04/30/2026","11.100","11.100","11.100","11.100","0.36%"
"04/29/2026","11.060","11.060","11.060","11.060","0.00%"
"04/28/2026","11.060","11.060","11.060","11.060","0.00%"
"04/27/2026","11.060","11.060","11.060","11.060","0.00%"
"04/24/2026","11.060","11.400","11.400","11.060","0.00%"
"04/23/2026","11.060","11.060","11.060","11.060","0.00%"
"04/22/2026","11.060","11.400","11.400","11.060","0.00%"
"04/21/2026","11.060","11.400","11.400","11.060","0.00%"
"04/20/2026","11.060","11.400","11.400","11.060","0.00%"
"04/17/2026","11.060","11.450","11.450","11.060","0.00%"
"04/16/2026","11.060","11.450","11.450","11.060","0.00%"
"04/15/2026","11.060","11.060","11.060","11.060","0.00%"
"04/10/2026","11.060","11.450","11.450","11.060","0.09%"
"04/09/2026","11.050","11.050","11.050","11.050","-0.38%"
"04/08/2026","11.092","11.092","11.300","11.092","-0.30%"
"04/07/2026","11.125","11.300","11.300","11.125","-0.07%"
"04/06/2026","11.133","11.300","11.300","11.133","0.37%"
"04/02/2026","11.092","11.300","11.300","11.092","0.15%"
"03/31/2026","11.075","11.075","11.300","11.075","2.04%"
"03/30/2026","10.854","10.854","10.854","10.854","-0.12%"
"03/27/2026","10.867","10.867","10.867","10.867","0.00%"
"03/26/2026","10.867","10.867","10.867","10.867","-0.34%"
"03/25/2026","10.904","10.904","10.904","10.904","-0.18%"
"03/24/2026","10.924","10.924","10.924","10.924","0.09%"
"03/23/2026","10.914","10.914","10.914","10.914","0.01%"
"03/20/2026","10.913","10.913","10.913","10.913","0.46%"
"03/19/2026","10.863","10.863","10.863","10.863","0.21%"
"03/18/2026","10.840","10.840","10.840","10.840","0.09%"
"03/17/2026","10.830","10.830","10.830","10.830","0.11%"
"03/16/2026","10.818","10.818","10.818","10.818","0.00%"
"03/13/2026","10.818","10.818","10.818","10.818","0.00%"
"03/12/2026","10.818","10.800","10.818","10.800","0.00%"
"03/11/2026","10.818","10.800","10.818","10.800","-0.33%"
"03/10/2026","10.854","10.854","10.854","10.800","0.56%"
"03/09/2026","10.794","10.900","10.900","10.794","0.00%"
"03/06/2026","10.794","10.794","10.794","10.794","-0.09%"
"03/05/2026","10.804","10.804","10.804","10.804","0.00%"
"03/04/2026","10.804","10.804","10.804","10.804","0.32%"
"03/03/2026","10.770","10.770","10.770","10.770","-0.04%"
"02/27/2026","10.774","10.774","10.774","10.774","-0.41%"
"02/26/2026","10.818","10.818","10.818","10.818","0.00%"
"02/25/2026","10.818","10.818","10.818","10.818","0.00%"
"02/24/2026","10.818","10.818","10.818","10.818","0.00%"
"02/23/2026","10.818","10.800","10.818","10.800","0.00%"
"02/20/2026","10.818","10.818","10.818","10.700","0.28%"
"02/19/2026","10.788","10.788","10.788","10.788","0.00%"
"02/18/2026","10.788","10.788","10.788","10.788","0.00%"
"02/17/2026","10.788","10.788","10.788","10.788","0.00%"
"02/16/2026","10.788","10.788","10.788","10.788","0.00%"
"02/13/2026","10.788","10.788","10.788","10.788","-0.42%"
"02/12/2026","10.834","10.834","10.834","10.834","-0.39%"
"02/11/2026","10.876","10.876","10.876","10.876","-0.13%"
"02/10/2026","10.890","10.890","10.890","10.890","-0.27%"
"02/09/2026","10.920","10.920","10.920","10.920","-0.15%"
"02/06/2026","10.936","10.850","10.936","10.850","0.00%"
"02/05/2026","10.936","10.936","10.936","10.936","0.00%"
"02/03/2026","10.936","10.936","10.936","10.936","0.05%"
"02/02/2026","10.930","10.930","10.930","10.930","-0.09%"
"01/30/2026","10.940","10.940","10.940","10.940","0.37%"
"01/29/2026","10.900","10.900","10.900","10.900","0.00%"
"01/28/2026","10.900","10.900","10.900","10.900","0.00%"
"01/27/2026","10.900","10.900","10.970","10.900","0.00%"
"01/26/2026","10.900","10.900","10.900","10.900","-0.09%"
"01/23/2026","10.910","10.910","10.910","10.910","-0.09%"
"01/22/2026","10.920","10.920","10.920","10.920","-0.18%"
"01/21/2026","10.940","10.940","10.940","10.940","0.00%"
"01/20/2026","10.940","10.940","10.940","10.940","0.00%"
"01/19/2026","10.940","10.940","10.940","10.940","0.64%"
"01/16/2026","10.870","10.870","10.870","10.850","0.00%"
"01/14/2026","10.870","10.870","10.870","10.870","0.00%"
"01/13/2026","10.870","10.870","10.870","10.870","0.83%"
"01/12/2026","10.780","10.780","10.780","10.780","0.00%"
"01/09/2026","10.780","10.780","10.780","10.780","0.00%"
"01/08/2026","10.780","10.780","10.780","10.780","0.00%"
"01/07/2026","10.780","10.780","10.780","10.780","0.00%"
"01/06/2026","10.780","10.780","10.780","10.780","0.02%"
"01/05/2026","10.778","10.778","10.778","10.778","0.00%"
"01/02/2026","10.778","10.778","10.900","10.778","0.00%"
"01/01/2026","10.778","10.778","10.778","10.778","0.00%"
"12/31/2025","10.778","10.778","10.778","10.778","-0.83%"
"12/30/2025","10.868","10.868","10.868","10.868","0.00%"
"12/29/2025","10.868","10.868","10.868","10.868","-0.02%"
"12/26/2025","10.870","10.870","10.870","10.870","0.09%"
"12/24/2025","10.860","11.000","11.000","10.860","0.00%"
"12/23/2025","10.860","10.750","10.860","10.750","0.00%"
"12/22/2025","10.860","10.860","10.860","10.860","0.00%"
"12/19/2025","10.860","10.650","10.860","10.650","0.00%"
"12/18/2025","10.860","10.650","10.860","10.650","0.00%"
"12/17/2025","10.860","10.860","10.860","10.860","-0.06%"
"12/16/2025","10.866","10.650","10.866","10.650","-0.18%"
"12/15/2025","10.886","10.650","10.886","10.650","0.06%"
"12/12/2025","10.880","10.880","10.880","10.880","-0.27%"
"12/11/2025","10.910","10.910","10.910","10.910","0.00%"
"12/10/2025","10.910","10.910","10.910","10.910","0.00%"
"12/09/2025","10.910","10.910","10.910","10.910","0.00%"
"12/08/2025","10.910","10.910","10.910","10.910","0.00%"
"12/05/2025","10.910","10.910","10.910","10.750","0.19%"
"12/03/2025","10.889","10.750","10.889","10.750","-0.01%"
"12/02/2025","10.890","10.890","10.890","10.890","0.00%"
"12/01/2025","10.890","10.890","10.890","10.890","0.56%"
"11/28/2025","10.829","10.829","10.829","10.700","0.09%"
"11/27/2025","10.819","10.819","10.819","10.819","-0.01%"
"11/26/2025","10.820","10.820","10.820","10.820","0.00%"
"11/25/2025","10.820","10.700","10.820","10.700","0.00%"
"11/24/2025","10.820","10.820","10.820","10.820","0.01%"
"11/21/2025","10.819","10.819","10.819","10.819","-0.09%"
"11/20/2025","10.829","10.829","10.829","10.829","-0.01%"
"11/19/2025","10.830","10.830","10.830","10.830","0.00%"
"11/18/2025","10.830","10.830","10.830","10.830","-5.41%"
"11/17/2025","11.450","11.450","11.450","11.450","0.00%"
"11/14/2025","11.450","10.850","11.450","10.850","0.00%"
"11/13/2025","11.450","10.850","11.450","10.850","0.00%"
"11/12/2025","11.450","10.850","11.450","10.850","0.00%"
"11/11/2025","11.450","11.450","11.450","10.850","0.00%"
"11/10/2025","11.450","10.850","11.450","10.850","-0.26%"
"11/07/2025","11.480","11.480","11.480","10.900","-0.09%"
"11/06/2025","11.490","10.950","11.490","10.950","0.00%"
"11/04/2025","11.490","11.490","11.490","11.000","-0.17%"
"11/03/2025","11.510","11.510","11.510","11.000","0.00%"
"10/31/2025","11.510","11.510","11.510","11.510","0.00%"
"10/30/2025","11.510","11.510","11.510","11.510","-0.09%"
"10/29/2025","11.520","11.520","11.520","11.520","0.00%"
"10/28/2025","11.520","11.520","11.520","11.520","0.00%"
"10/27/2025","11.520","11.520","11.520","11.520","0.00%"
"10/24/2025","11.520","11.520","11.520","11.520","0.00%"
"10/23/2025","11.520","11.520","11.520","11.520","0.00%"
"10/22/2025","11.520","11.520","11.520","11.520","0.00%"
"10/21/2025","11.520","11.525","11.525","11.520","-0.04%"
"10/17/2025","11.525","11.525","11.525","11.525","0.04%"
"10/16/2025","11.520","11.520","11.520","11.520","0.00%"
"10/15/2025","11.520","11.520","11.520","11.520","0.00%"
"10/14/2025","11.520","11.050","11.520","11.050","0.00%"
"10/13/2025","11.520","11.050","11.520","11.050","0.00%"
"10/10/2025","11.520","11.520","11.520","11.520","0.00%"
"10/09/2025","11.520","11.520","11.520","11.520","0.00%"
"10/08/2025","11.520","11.520","11.520","11.520","0.00%"
"10/07/2025","11.520","11.520","11.520","11.520","0.01%"
"10/03/2025","11.519","11.519","11.519","11.519","0.00%"
"10/02/2025","11.519","11.519","11.519","11.519","-0.01%"
"10/01/2025","11.520","11.520","11.520","11.520","0.00%"
"09/30/2025","11.520","11.520","11.520","11.520","0.00%"
"09/29/2025","11.520","11.520","11.520","11.520","0.01%"
"09/26/2025","11.519","11.519","11.519","11.519","0.00%"
"09/25/2025","11.519","11.519","11.519","11.519","-0.01%"
"09/24/2025","11.520","11.520","11.520","11.520","0.00%"
"09/23/2025","11.520","11.520","11.520","11.520","0.00%"
"09/22/2025","11.520","11.520","11.520","11.520","0.01%"
"09/19/2025","11.519","11.519","11.519","11.519","0.83%"
"09/18/2025","11.424","11.424","11.424","11.424","-0.83%"
"09/17/2025","11.520","11.520","11.520","11.520","0.00%"
"09/16/2025","11.520","11.520","11.520","11.520","5.79%"
"09/15/2025","10.890","10.890","10.890","10.890","-5.47%"
"09/12/2025","11.520","11.520","11.520","11.520","-0.01%"
"09/11/2025","11.521","11.521","11.521","11.521","0.01%"
"09/10/2025","11.520","11.520","11.520","11.520","0.00%"
"09/09/2025","11.520","11.520","11.520","11.520","0.00%"
"09/08/2025","11.520","11.520","11.520","11.520","-0.01%"
"09/04/2025","11.521","11.521","11.521","11.521","0.00%"
"09/03/2025","11.521","11.521","11.521","11.521","0.76%"
"09/02/2025","11.434","11.434","11.434","11.434","0.03%"
"09/01/2025","11.430","11.430","11.430","11.430","-0.79%"
"08/29/2025","11.521","11.521","11.521","11.521","0.00%"
"08/28/2025","11.521","11.521","11.521","11.521","0.01%"
"08/27/2025","11.520","11.520","11.520","11.520","0.00%"
"08/26/2025","11.520","11.520","11.520","11.520","0.88%"
"08/25/2025","11.420","11.420","11.420","11.420","0.00%"
"08/22/2025","11.420","11.420","11.420","11.420","-0.09%"
"08/21/2025","11.430","11.430","11.430","11.430","0.09%"
"08/20/2025","11.420","11.420","11.420","11.420","0.00%"
"08/19/2025","11.420","11.420","11.420","11.420","0.00%"
"08/18/2025","11.420","11.420","11.420","11.420","0.09%"
"08/15/2025","11.410","11.410","11.410","11.410","0.00%"
"08/14/2025","11.410","11.410","11.410","11.410","0.00%"
"08/13/2025","11.410","11.410","11.410","11.410","0.00%"
"08/12/2025","11.410","11.410","11.410","11.410","0.00%"
"08/11/2025","11.410","11.410","11.410","11.410","0.00%"
"08/07/2025","11.410","11.410","11.410","11.410","0.00%"
"08/06/2025","11.410","11.410","11.410","11.410","0.60%"
"08/05/2025","11.342","11.342","11.342","11.342","0.00%"
"08/04/2025","11.342","11.342","11.342","11.342","0.15%"
"08/01/2025","11.325","11.325","11.325","11.325","0.14%"
"07/31/2025","11.309","11.309","11.309","11.309","0.01%"
"07/30/2025","11.308","11.308","11.308","11.308","0.00%"
"07/29/2025","11.308","11.308","11.308","11.308","-0.63%"
"07/28/2025","11.380","11.380","11.380","11.380","0.64%"
"07/25/2025","11.308","11.308","11.308","11.308","0.00%"
"07/24/2025","11.308","11.308","11.308","11.308","-0.63%"
"07/23/2025","11.380","11.380","11.380","11.380","0.64%"
"07/22/2025","11.308","11.308","11.308","11.308","0.00%"
"07/21/2025","11.308","11.308","11.308","11.308","0.00%"
"07/18/2025","11.308","11.308","11.308","11.308","0.00%"
"07/17/2025","11.308","11.308","11.308","11.308","0.00%"
"07/16/2025","11.308","11.308","11.308","11.308","0.07%"
"07/15/2025","11.300","11.300","11.300","11.300","0.00%"
"07/14/2025","11.300","11.300","11.300","11.300","0.37%"
"07/11/2025","11.258","11.258","11.258","11.258","0.00%"
"07/09/2025","11.258","11.258","11.258","11.258","0.00%"
"07/08/2025","11.258","11.258","11.258","11.258","0.91%"
"07/07/2025","11.157","11.157","11.157","11.157","-0.83%"
"07/04/2025","11.250","11.250","11.250","11.250","0.00%"
"07/03/2025","11.250","11.250","11.250","11.250","0.00%"
"07/02/2025","11.250","11.250","11.250","11.250","0.64%"
"07/01/2025","11.179","11.179","11.179","11.179","0.00%"
"06/30/2025","11.179","11.179","11.179","11.179","-0.78%"
"06/27/2025","11.267","11.267","11.267","11.267","0.80%"
"06/26/2025","11.178","11.178","11.178","11.178","-0.79%"
"06/25/2025","11.267","11.267","11.267","11.267","0.34%"
"06/24/2025","11.229","11.229","11.229","11.229","-0.41%"
"06/23/2025","11.275","11.275","11.275","11.275","0.20%"
"06/20/2025","11.253","11.253","11.253","11.253","0.36%"
"06/19/2025","11.213","11.213","11.213","11.213","-1.21%"
"06/18/2025","11.350","11.350","11.350","11.350","0.00%"
"06/17/2025","11.350","11.350","11.350","11.350","1.11%"
"06/16/2025","11.225","11.225","11.225","11.225","0.00%"
"06/13/2025","11.225","11.225","11.225","11.225","0.00%"
"06/12/2025","11.225","11.225","11.225","11.225","0.00%"
"06/11/2025","11.225","11.225","11.225","11.225","0.00%"
"06/09/2025","11.225","11.225","11.225","11.225","0.00%"
"06/06/2025","11.225","11.128","11.225","11.128","0.87%"
"06/05/2025","11.128","11.128","11.128","11.128","0.00%"
"06/04/2025","11.128","11.128","11.128","11.128","-0.07%"
"06/03/2025","11.136","11.136","11.136","11.136","-0.45%"
"06/02/2025","11.186","11.186","11.186","11.186","0.20%"
"05/30/2025","11.164","11.164","11.164","11.164","-0.76%"
"05/29/2025","11.250","11.250","11.250","11.250","0.00%"
"05/28/2025","11.250","11.250","11.250","11.250","-1.06%"
"05/27/2025","11.371","11.371","11.371","11.371","-0.31%"
