Quarter,EPS,NAV
2012-01,2.28,88.46
2012-02,4.77,89.69
2012-03,5.76,95.48
2012-04,6.81,102.28
2013-01,6.34,114.34
2013-02,6.91,118.73
2013-03,1.16,119.61
2013-04,1.59,121.73
2014-01,3.61,122.4
2014-02,3.85,123.43
2014-03,4.93,128.19
2014-04,5.45,132.9
2015-01,4.34,134.37
2015-02,2.2,131.12
2015-03,0.38,131.45
2015-04,-1.32,128.26
2016-01,4.52,132.59
2016-02,-0.81,127.69
2016-03,0.46,128.44
2016-04,1.78,129.5
2017-01,11.16,152.39
2017-02,-0.49,151.06
2017-03,0.69,153.22
2017-04,3.3,157.16
2018-01,4.78,162.7
2018-02,3.59,161.36
2018-03,2.55,165.5
2018-04,6.65,175.21
2019-01,1.72,174.09
2019-02,1.7,175.79
2019-03,3.86,180.54
2019-04,5.15,184.83
2020-01,1.79,186.04
2020-02,10.19,198.29
2020-03,21.88,217.65
2020-04,26.5,237.24
2021-01,2.77,26.14
2021-02,2.08,28.1
2021-03,1.61,28.43
2021-04,1.35,28.72
2022-01,3.95,36.6
2022-02,6.18,44
2022-03,1.96,43.88
2022-04,1.38,45.86
2023-01,1.34,45.06
2023-02,0.96,44.65
2023-03,1.46,45.16
2023-04,1.18,46.54
2024-01,3.8,48.17
2024-02,1.11,49.2
2024-03,1.54,50.64
2024-04,1.7,51.13
2025-01,2.13,53.09
2025-02,1.47,55.08
2025-03,1.54,56.3
2025-04,1.78,57.9
2026-01,1.1,58.18
2026-02,,
2026-03,,
2026-04,,
