Quarter,EPS,NAV
2020-01,1.15,63.31
2020-02,1.01,64.32
2020-03,3.93,68.24
2020-04,3.73,66.96
2021-01,3.33,74.5
2021-02,2.28,76.74
2021-03,1.43,73.2
2021-04,2.86,76.06
2022-01,3.75,79.72
2022-02,3.71,83.39
2022-03,-0.27,78.09
2022-04,-2.66,75.4
2023-01,5.98,81.3
2023-02,0.05,80.6
2023-03,3.32,78.65
2023-04,3.8,82.81
2024-01,5.15,87.43
2024-02,2.37,89.23
2024-03,2.05,85.19
2024-04,2.07,87.18
2025-01,2.54,94.44
2025-02,0.95,95.13
2025-03,1.47,90.1
2025-04,1.31,91.41
2026-01,2.12,93.56
2026-02,,
2026-03,,
2026-04,,
