"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2019","178.550","178.475","178.700","178.200","0.04K","-0.06%"
"03/07/2019","178.650","178.375","178.675","178.150","0.05K","0.08%"
"03/06/2019","178.500","179.050","179.100","178.000","0.05K","-0.31%"
"03/05/2019","179.050","179.625","179.800","178.950","0.06K","-0.39%"
"03/04/2019","179.750","179.750","179.750","179.750","","0.00%"
"03/01/2019","179.750","180.100","180.100","179.475","0.05K","-0.15%"
"02/28/2019","180.025","180.000","180.575","179.875","0.05K","0.10%"
"02/27/2019","179.850","179.900","179.975","179.600","0.05K","0.00%"
"02/26/2019","179.850","179.700","179.950","179.675","0.04K","0.06%"
"02/25/2019","179.750","179.500","179.875","179.500","0.04K","0.15%"
"02/22/2019","179.475","179.550","179.675","179.300","0.05K","-0.01%"
"02/21/2019","179.500","179.750","179.800","179.425","0.05K","-0.11%"
"02/20/2019","179.700","180.000","180.000","179.350","0.05K","0.06%"
"02/19/2019","179.600","179.600","179.600","179.600","","0.00%"
"02/18/2019","179.600","178.700","180.020","178.600","0.05K","0.53%"
"02/15/2019","178.650","178.600","178.825","178.475","0.04K","0.06%"
"02/14/2019","178.550","178.600","178.800","178.450","0.03K","0.03%"
"02/13/2019","178.500","178.350","178.925","178.150","0.04K","0.11%"
"02/12/2019","178.300","177.825","178.375","177.775","0.03K","0.31%"
"02/11/2019","177.750","177.800","177.875","177.550","0.03K","0.00%"
"02/08/2019","177.750","177.700","178.250","177.500","0.04K","0.00%"
"02/07/2019","177.750","177.850","177.850","177.350","0.04K","0.08%"
"02/06/2019","177.600","178.250","178.600","177.375","0.05K","-0.36%"
"02/05/2019","178.250","177.150","178.400","177.000","0.04K","0.91%"
"02/04/2019","176.650","176.650","176.650","176.650","","0.00%"
"02/01/2019","176.650","178.400","178.425","176.400","0.05K","-0.98%"
"01/31/2019","178.400","179.450","179.450","178.300","0.04K","-0.56%"
"01/30/2019","179.400","180.950","181.000","178.700","0.07K","-0.80%"
"01/29/2019","180.850","181.600","181.850","180.750","0.04K","-0.40%"
"01/28/2019","181.575","181.600","181.700","181.450","0.03K","-0.04%"
"01/25/2019","181.650","181.800","181.875","181.325","0.04K","-0.06%"
"01/24/2019","181.750","182.300","182.350","181.525","0.04K","-0.25%"
"01/23/2019","182.200","182.025","182.400","181.950","0.03K","0.03%"
"01/22/2019","182.150","181.825","182.250","181.700","0.04K","0.19%"
"01/21/2019","181.800","181.525","181.950","181.500","0.04K","0.08%"
"01/18/2019","181.650","181.850","182.000","181.550","0.05K","0.03%"
"01/17/2019","181.600","182.400","182.475","181.600","0.04K","-0.41%"
"01/16/2019","182.350","182.500","182.525","182.125","0.03K","0.05%"
"01/15/2019","182.250","182.250","182.250","182.250","","0.00%"
"01/14/2019","182.250","181.950","182.350","181.950","0.04K","0.16%"
"01/11/2019","181.950","181.700","182.300","181.600","0.04K","-0.05%"
"01/10/2019","182.050","182.400","182.475","181.750","0.03K","-0.22%"
"01/09/2019","182.450","182.625","182.850","182.350","0.04K","-0.08%"
"01/08/2019","182.600","182.250","182.600","182.200","0.04K","0.19%"
