Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
12 MAY 2026,700,700,690.75,698.25,21,489,341984.5
11 MAY 2026,747,747,686,690.25,51,5568,3843596.25
8 MAY 2026,703.75,705,699,700,28,3371,2369785.5
7 MAY 2026,703.5,703.75,702.25,703.5,21,457,321501.5
6 MAY 2026,705,705,690,691.25,38,2631,1828160
5 MAY 2026,705,705,689.75,691.25,41,4614,3197347.5
4 MAY 2026,708,708,690,696,37,8803,6214803
30 APR 2026,690,749.5,689.5,706,27,1002,701659.75
29 APR 2026,690,690,689.5,690,20,149,102799.5
28 APR 2026,690,690,689.5,690,35,523,360855
27 APR 2026,700,700,689.75,690,35,807,557201.25
24 APR 2026,695,696,689.5,690,51,7806,5388333.5
23 APR 2026,707.75,707.75,690,692,31,1064,737709.25
22 APR 2026,706.75,706.75,692,700,44,976,679966.5
21 APR 2026,707.5,707.5,699.75,700,29,1457,1022234.5
20 APR 2026,702.5,707.5,699.5,701.25,43,341,239571
17 APR 2026,707.75,707.75,702.25,702.5,29,2890,2034785
16 APR 2026,708,708,700,704.5,23,976,687234
15 APR 2026,708,708,707,708,17,306,216610.5
10 APR 2026,708,708,700,707.25,26,657,464369.5
9 APR 2026,708,708,700,702.5,14,200,140490.5
8 APR 2026,707,708,698.5,707.25,25,593,418870.5
7 APR 2026,705,705,678,685.75,33,1941,1363381.25
6 APR 2026,704,705,680,703.25,32,2194,1504604.25
2 APR 2026,702,703,700,688.75,7,42,29471
31 MAR 2026,705,705,702,688.75,12,46,32358.25
30 MAR 2026,708,708,671,688.75,6,118,81279
27 MAR 2026,700,707,660,666,23,541,360334.25
26 MAR 2026,708,708,700,701,24,1049,737155.25
25 MAR 2026,700,708,700,707.5,19,561,396925.25
24 MAR 2026,690,698,690,696.75,25,589,410861.5
23 MAR 2026,698,698,675,683.5,31,726,498018.5
20 MAR 2026,698.75,698.75,660,690,20,522,357157.75
19 MAR 2026,700,700,672.25,677,4,16,11101.75
18 MAR 2026,675,704,675,677,19,1312,886594.5
17 MAR 2026,700,700,668,677.5,45,411,278777.75
16 MAR 2026,702,702,670.5,685,77,1163,792854.75
13 MAR 2026,708,714,701,701.5,27,5313,3726793
12 MAR 2026,719,719,705,709.75,18,193,137325.5
11 MAR 2026,710.5,719.75,710.5,713.75,8,141,100720
10 MAR 2026,720,720,700,700.25,43,6964,4880216
9 MAR 2026,739.75,739.75,696.25,700.25,92,6334,4447061.25
6 MAR 2026,738.75,740,738.75,739.5,16,180,133068
5 MAR 2026,725,744,724,725,57,5821,4220919
4 MAR 2026,730,735,700,725.5,58,1372,995525.75
3 MAR 2026,710,745,702,740.25,72,1441,1041752.25
27 FEB 2026,745,745,740.25,742,15,186,137946.5
26 FEB 2026,746,746,739.75,743.75,23,329,244698
25 FEB 2026,745.75,745.75,740,740,24,748,553657
24 FEB 2026,748.75,749,740,746,19,460,343436
23 FEB 2026,746.5,749,746.5,747.5,19,1146,856744
20 FEB 2026,746,746,725,745,37,493,361250.5
19 FEB 2026,744,749.75,730,732.5,25,436,320584.25
18 FEB 2026,749,749,730,732,52,1371,1009519
17 FEB 2026,750,750,739.25,744.25,46,1182,876304.75
16 FEB 2026,746,758.5,744.75,749.25,31,593,445145.75
13 FEB 2026,752,752,745,745.25,38,1047,780867.5
12 FEB 2026,750,750,740,745.75,27,305,228182
11 FEB 2026,758.75,759.75,740.25,740.25,35,706,525195
10 FEB 2026,760,760,730,730,97,358036,261396528
9 FEB 2026,760,760,700,751,64,1337,996645.5
6 FEB 2026,770,770,758.5,762.25,16,976,741445
5 FEB 2026,775,775,758.25,766.5,19,172,132088
3 FEB 2026,765,779.5,756,765.75,22,100244,80188190.5
2 FEB 2026,760,771,755,770.5,45,100818,75623209.5
30 JAN 2026,770,770,760,763,39,101113,80852086
29 JAN 2026,770,770,766.25,770,12,54,41464.25
28 JAN 2026,765,770,760,770,39,1503,1146213
27 JAN 2026,760,770.75,755,760,64,22074,16771419
26 JAN 2026,772.5,772.5,760,760,66,226232,171941600.5
23 JAN 2026,772.5,772.5,769.75,771.5,25,496,383004
22 JAN 2026,771.75,772.5,760,762.25,65,2031,1550998
21 JAN 2026,772.5,772.5,772,772.5,11,338,261103
20 JAN 2026,771,771,770,771,30,1619,1247432
19 JAN 2026,775,779,770.25,775,47,2853,2209568.5
16 JAN 2026,779,779,768,770.5,38,2123,1637668
14 JAN 2026,779,779,760,778.25,75,302038,241570687
13 JAN 2026,775,779,772.25,775.75,23,172,133431.5
12 JAN 2026,790,790,775,779,52,202617,162039302
9 JAN 2026,797,797,775,791.75,26,905,719054
8 JAN 2026,770,799,770,795,17,370,287741.75
6 JAN 2026,774,800,769.75,770,19,472,368839.25
5 JAN 2026,774.5,774.5,765,769.75,38,202109,161623462.75
2 JAN 2026,770,770,769,770,33,973,749190.5
31 DEC 2025,768.25,768.5,765.25,767,25,1147,880079.5
30 DEC 2025,780,780,768.25,770,8,508,391188.25
29 DEC 2025,783,783,757,763.25,24,182,139872
26 DEC 2025,783,783,760,768.75,14,249,191447.5
24 DEC 2025,776,783,776,777.25,17,139,108040.5
23 DEC 2025,773,776,762,768,12,146,112144
22 DEC 2025,780,780,755,761.25,38,800,608135
19 DEC 2025,780,780,770,780.75,8,43,33300
18 DEC 2025,776,792,730,780.75,39,70388,56298650.25
17 DEC 2025,780,780.25,776,776,31,20472,15967415
16 DEC 2025,800,800,780,780,61,4242,3321441
15 DEC 2025,804.75,804.75,799,800.25,21,297,237653.25
12 DEC 2025,804.5,804.5,800,800.25,15,161,129008.25
11 DEC 2025,806,806,800,804,17,1147,922283
10 DEC 2025,807,807,792,800.5,22,399,320735.5
9 DEC 2025,790,809.75,790,807,16,339,271282
8 DEC 2025,790,799.75,788.5,790.25,20,434,344135.5
5 DEC 2025,798.75,800,790,800,31,36021,28815136.5
3 DEC 2025,800,800,799,800,12,296,236770
2 DEC 2025,799,800,798.75,799.25,23,477,381346.25
1 DEC 2025,790,799,790,793.75,35,5354,4230347.75
28 NOV 2025,790,790.25,786,790,21,1134,895860.75
27 NOV 2025,798,800,790,790,27,2027,1604153.25
26 NOV 2025,800,800,798,798.25,19,356,284583.5
25 NOV 2025,809,809,794,797.25,29,463,370336.75
24 NOV 2025,809,809,802,803.25,18,148,118917.75
21 NOV 2025,820,820,796.5,802.25,50,3593,2878275.25
20 NOV 2025,817,819,810,816.25,23,3254,2656917.25
19 NOV 2025,820,820,812.75,816,12,95,77258.5
18 NOV 2025,828,828,813,816,22,296,242565.75
17 NOV 2025,833,833,820,824,19,142,117021
14 NOV 2025,838.75,840.25,830,832.25,31,1449,1211821
13 NOV 2025,840,841.75,839.25,839.25,23,544,456808.5
12 NOV 2025,845,845,839,839.25,23,521,438570
11 NOV 2025,847,847,837,843.5,8,429,360907
10 NOV 2025,847,847,837,840.25,50,4640,3910049
7 NOV 2025,847,847,836,844.25,62,3087,2608971.5
6 NOV 2025,847.75,847.75,835,845,35,1765,1491599.75
4 NOV 2025,822,861,822,847.25,133,5931,5010279.5
3 NOV 2025,825,829.75,822,822,24,330,271881.25
31 OCT 2025,819,834,810,820.25,41,1442,1186858.25
30 OCT 2025,810,819,806,813.25,26,232,188594.75
29 OCT 2025,804.5,824,804.5,813,29,464,377068
28 OCT 2025,824,824,800,820,53,9472,7768521
27 OCT 2025,824,824.5,819,820,49,85616,70961584.75
24 OCT 2025,826,826,805.25,812.25,28,841,686289.75
23 OCT 2025,805.5,825,799.25,824.25,74,131817,106244550
22 OCT 2025,806,820,800,805.75,47,65966,54728030.75
21 OCT 2025,801,810,800,806,69,14562,11660519
17 OCT 2025,771,820,770,801.25,223,168345,134525573.75
