Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
12 MAY 2026,209,209.5,208.5,208.75,337,152551,31889430.25
11 MAY 2026,210.5,211.75,208,208.75,721,355336,74469698.25
8 MAY 2026,210,211.25,209.75,210.5,372,1605930,337336839.75
7 MAY 2026,210,211.5,209.5,210,327,686007,144070242
6 MAY 2026,211,211,209.25,209.75,280,765667,160758614.5
5 MAY 2026,210,211,209,209.75,286,636857,133695307.75
4 MAY 2026,209.25,211,209,210,339,2290883,481056978.25
30 APR 2026,211,211,209,209.25,328,62795,13158309.5
29 APR 2026,210,211.75,210,211,268,334173,70449760.75
28 APR 2026,208.5,211,208,210.75,276,1149650,241530327
27 APR 2026,210,210,207,208.5,536,393487,82404828
24 APR 2026,209.75,211,209,210,274,727459,152742875.75
23 APR 2026,210.5,210.5,209,210,227,346450,72581131.5
22 APR 2026,210,210.5,209,209,323,348069,72978551.25
21 APR 2026,208.5,210,208,209.25,273,80671,16876415
20 APR 2026,210.75,210.75,208.25,208.5,507,120016,25122017
17 APR 2026,210,211.75,209.5,210.25,480,166573,35073789.75
16 APR 2026,211.25,212.5,210,211.25,372,117670,24872932.75
15 APR 2026,211,211,209,210.5,323,226740,47597735.75
10 APR 2026,208.25,211,207,210.25,382,1216330,255432205.75
9 APR 2026,210,210,208,209.5,279,461522,96465371
8 APR 2026,205.5,215,205.5,209.75,569,1189174,250497091.5
7 APR 2026,203,203,199,199.75,347,253754,50675916.5
6 APR 2026,202.25,202.75,198,199.25,851,400357,79797464
2 APR 2026,203,203,200,201.75,553,474222,95624700.25
31 MAR 2026,204.75,206.5,203.5,204.25,446,448200,91793472.75
30 MAR 2026,206.25,207,200,204.75,477,177118,36144347.75
27 MAR 2026,207,209.75,207,207.25,280,125131,25953175.5
26 MAR 2026,209.5,209.5,205,206,451,145629,30115388
25 MAR 2026,204,211.5,204,209.75,730,567815,118986230.5
24 MAR 2026,193.5,205,193.5,201.25,625,435658,87493673.25
23 MAR 2026,190,192,189,191.25,650,662812,126455440.75
20 MAR 2026,190,192.75,190,191.5,723,655181,125222908
19 MAR 2026,193.75,195,189.25,190.25,1222,1320653,252141562.5
18 MAR 2026,192,199.5,191.75,193,913,1716046,331181341.5
17 MAR 2026,196.75,200,191,193,1483,671752,131910165.5
16 MAR 2026,204,204,196.5,198.5,1865,1597612,318462739.5
13 MAR 2026,207.5,207.5,202.5,204.75,1018,805920,164091734.25
12 MAR 2026,210,211,207.75,208.25,445,166473,34848788.5
11 MAR 2026,212,212,209.75,210.25,419,881194,185303472.25
10 MAR 2026,207,210.5,207,209.75,551,840419,176389716
9 MAR 2026,210.25,211,204.5,205.25,2018,3491519,719292392.25
6 MAR 2026,216,216.5,213.75,214,506,336567,72127604.25
5 MAR 2026,214.5,216.75,214.5,215.25,640,1434675,308665849.25
4 MAR 2026,210,217,210,213.5,1208,600428,128898960.5
3 MAR 2026,214,218,208,210,2300,3160608,668737176.5
27 FEB 2026,225.5,225.5,210,221.5,1279,2404024,535632854.25
26 FEB 2026,230,231,228,228.75,324,75672,17346525.75
25 FEB 2026,230.5,232,229.25,230,253,114221,26270648.25
24 FEB 2026,233,233,230,230.75,281,312726,72274677
23 FEB 2026,231.25,234,231,231.25,247,54668,12689391
20 FEB 2026,232,232,229.5,230.5,459,221444,51010411.5
