Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
12 MAY 2026,1827,1827,1815,1819.5,82,2169,3948390
11 MAY 2026,1819.5,1827.5,1819,1819.75,51,575,1046409.25
8 MAY 2026,1810,1819.75,1810,1814.75,48,716,1299272.5
7 MAY 2026,1810,1825,1800,1802,78,32320,56630759.5
6 MAY 2026,1825,1825,1803.75,1805,58,1056,1914216
5 MAY 2026,1801,1825,1800.25,1803.5,28,416,750063.75
4 MAY 2026,1804,1815,1798,1800,117,1343510,2391494784
30 APR 2026,1821,1821,1803,1808.75,93,1231,2234641.75
29 APR 2026,1815,1820.5,1810,1820,67,8718,15826826.25
28 APR 2026,1810,1820,1800,1815,61,2654,4806332.75
27 APR 2026,1815,1815,1799,1800.25,91,2598,4690621.25
24 APR 2026,1785,1813.75,1780,1813.25,45,1453,2593954.25
23 APR 2026,1780,1780,1777,1779.75,67,6882,12247649.25
22 APR 2026,1780,1789,1778.5,1780,81,501695,893017192
21 APR 2026,1780,1780,1776,1779.75,144,6621,11783183.25
20 APR 2026,1779,1779,1775,1775.5,70,3373,5993759.75
17 APR 2026,1776,1780,1773,1779.25,84,5779,10264408.5
16 APR 2026,1767.75,1780,1765,1779.25,70,4687,8322183.5
15 APR 2026,1769,1775,1765,1767.5,73,691,1222654
10 APR 2026,1765,1770,1755,1758.75,79,1277,2246667.5
9 APR 2026,1765,1769,1750,1760,44,1181,2072016.25
8 APR 2026,1755,1770,1726,1750,93,4799,8403525.5
7 APR 2026,1742,1760,1718,1724.25,48,3245,5604100.75
6 APR 2026,1716,1760,1716,1720.75,61,6333,11032482.25
2 APR 2026,1715,1745,1710,1716,58,1046,1796948.5
31 MAR 2026,1719,1719,1708.25,1710,28,2705,4625998.5
30 MAR 2026,1720,1720,1708,1715.75,54,1672,2869756.25
27 MAR 2026,1700,1720,1700,1718.75,31,250,429555.5
26 MAR 2026,1732,1732,1700,1700.5,55,7881,13422910.75
25 MAR 2026,1720,1730,1685,1721.5,76,5449,9291402.5
24 MAR 2026,1695,1739,1667.5,1675.5,129,5607,9464807.5
23 MAR 2026,1690,1700,1654.75,1661.5,160,8267,13791097.25
20 MAR 2026,1690,1700,1690,1695,74,2314,3924814
19 MAR 2026,1700,1700,1690,1691,106,3254,5509101.5
18 MAR 2026,1700.25,1720,1698.5,1709.5,90,2297,3907651.75
17 MAR 2026,1700,1750,1700,1701.75,63,1735,2988271.75
16 MAR 2026,1731,1731,1690,1721.25,137,1984,3377850.75
13 MAR 2026,1740,1740,1719,1736,78,893,1543124.75
12 MAR 2026,1740,1748,1720.5,1725,119,10707,18477243.75
11 MAR 2026,1760,1760,1725,1742.75,62,5111,8845067.75
10 MAR 2026,1720,1769,1720,1742.75,55,1855,3257442.25
9 MAR 2026,1770,1770,1710,1730,146,1539,2659540.5
6 MAR 2026,1782,1782,1699.75,1750.5,138,9841,17225652
5 MAR 2026,1769.75,1788.25,1760,1760.25,75,4777,8420917
4 MAR 2026,1740,1774.5,1740,1753,97,4297,7583074.5
3 MAR 2026,1765,1765,1750,1758.75,174,2723,4778284
27 FEB 2026,1789,1789,1775,1775.75,59,919,1634235
26 FEB 2026,1790,1790,1785,1789.75,68,3944,7055911.25
25 FEB 2026,1785,1789.75,1785,1786,56,1233,2203916.5
24 FEB 2026,1785,1785.5,1773.25,1784.75,51,1354,2411799.75
23 FEB 2026,1779.75,1783,1772,1772.5,49,965,1714527.5
20 FEB 2026,1775,1779.75,1771.25,1773.75,60,1454,2581525.25
19 FEB 2026,1769.75,1786.5,1769.75,1775,111,2881,5108287.5
18 FEB 2026,1767.75,1770,1760,1770,48,574,1012898
17 FEB 2026,1760,1769.75,1760,1765.5,26,184,324832.25
16 FEB 2026,1769,1770,1755,1769.5,45,501,885859.25
13 FEB 2026,1770,1774.75,1740,1744.75,73,1630,2855799.25
12 FEB 2026,1770,1771.75,1755.25,1764.75,45,754,1329789.25
11 FEB 2026,1770,1770,1755,1757.75,58,5161,9068858.5
10 FEB 2026,1770,1770,1761,1767,22,297,525245
9 FEB 2026,1769.75,1775,1760,1768.5,45,1718,3043811
6 FEB 2026,1765,1769.75,1760,1760.25,45,4786,8425090.25
5 FEB 2026,1760,1769.5,1759.75,1760.75,48,1766,3109496.25
3 FEB 2026,1730,1760,1730,1759.25,54,121943,210999442.25
2 FEB 2026,1740,1740,1729,1729.75,60,9989,17272429.25
30 JAN 2026,1759.25,1759.75,1726.25,1729.75,74,7901,13679467
29 JAN 2026,1730,1744,1700,1701.5,208,153882,261681712.25
28 JAN 2026,1755,1760,1740,1751.25,63,1921,3366988.5
27 JAN 2026,1750,1755,1750,1753.75,27,321,562891.25
26 JAN 2026,1750,1750,1740,1744.5,92,1660,2898688.5
23 JAN 2026,1750,1755,1749,1749.5,64,2513,4398774.5
22 JAN 2026,1750,1763.75,1746.25,1750,37,1604,2807365.75
21 JAN 2026,1745,1765,1745,1750,65,1548,2723935.25
20 JAN 2026,1765,1765,1740.5,1750,77,1708,2994031.25
19 JAN 2026,1759.75,1770,1751,1754.25,45,818,1437623
16 JAN 2026,1750,1759.75,1749,1751,51,6151,10765499
14 JAN 2026,1749,1754,1748.5,1750,48,710,1242333.75
13 JAN 2026,1759.75,1760,1748,1750,55,4229,7404813
12 JAN 2026,1750,1750,1748,1749.75,44,2086,3650275.25
9 JAN 2026,1749,1749,1739,1742,58,721,1258966.75
8 JAN 2026,1739.75,1749,1730,1749,51,4198,7305822
6 JAN 2026,1740,1740,1717,1735.75,53,10746,18644413.5
5 JAN 2026,1729.75,1730.75,1700.5,1730,76,1835,3167771.5
2 JAN 2026,1729,1730,1710,1729.75,75,6123,10586656.25
31 DEC 2025,1730,1730,1722,1725.5,49,479,827376.25
30 DEC 2025,1728.5,1730,1722,1728,34,795,1374453.5
