Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
8 MAY 2026,58.4,60.3,58,60,411,780663,46312135.4
7 MAY 2026,58.3,58.4,58,58.3,183,318491,18566340.2
6 MAY 2026,57.5,58.4,57.5,57.9,141,187466,10877434.7
5 MAY 2026,57.7,58,57.4,57.6,129,150428,8646155
4 MAY 2026,57.8,58.2,57.5,58,153,87043,5043645.6
30 APR 2026,58.1,58.3,57.6,58,239,908159,52631651.8
29 APR 2026,57.7,58.5,57.5,58.4,153,174524,10164328.6
28 APR 2026,57.9,57.9,57.4,57.5,176,238181,13704194.6
27 APR 2026,57.5,57.9,57,57.6,237,1287324,73487775.5
24 APR 2026,55,57.7,55,57,179,359068,20258411.4
23 APR 2026,54.9,55.5,54.7,55.5,121,212594,11691167.9
22 APR 2026,56,56,54.9,55,165,242952,13368454.9
21 APR 2026,54.9,56.4,54.8,55,158,441531,24310176.6
20 APR 2026,56.3,56.3,54.8,55,252,258555,14358458.3
17 APR 2026,56.4,56.7,56,56.3,202,208732,11747430.5
16 APR 2026,56.2,56.6,56,56.4,176,148979,8381384.8
15 APR 2026,55,56.6,55,55.9,160,76226,4238920.7
10 APR 2026,52.9,56.5,52.9,55.9,284,449422,24583119.9
9 APR 2026,53,53,51.8,52.5,123,186351,9720076.6
8 APR 2026,50.9,52.9,50.8,52.5,326,764135,39405536.2
7 APR 2026,49.9,50.9,49.8,50,103,115072,5771551.5
6 APR 2026,50,51.5,49.3,49.6,320,316219,15693061.2
2 APR 2026,51.9,51.9,49.9,50,196,267108,13450289.9
31 MAR 2026,49.9,49.9,49.2,49.4,223,145413,7191117.9
30 MAR 2026,51.3,51.3,49.8,49.9,237,135389,6795454.8
27 MAR 2026,51.2,51.5,50.6,50.9,120,98371,5007243.7
26 MAR 2026,51,52,50.1,51.1,185,209551,10632479.2
25 MAR 2026,51.8,52.5,51.3,51.4,285,554884,28833099.7
