Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
12 MAY 2026,142,144,141.5,143,184,340150,48492085.75
11 MAY 2026,140,142.5,139,142.25,149,110966,15713841.75
8 MAY 2026,137.5,143,137.5,142.25,365,662823,93255089.25
7 MAY 2026,135.75,138,135.25,137.5,208,191151,26163172.5
6 MAY 2026,133,135.5,132,135,139,104284,14043400.25
5 MAY 2026,132.75,133.25,131.5,133,79,25361,3356506.5
4 MAY 2026,133.5,134,132.75,133,146,123597,16460029
30 APR 2026,134,134.5,133,133.5,147,140479,18819745.5
29 APR 2026,134,134,132.75,134,113,159880,21406123.75
28 APR 2026,134.75,135,131,134,135,209486,28036370.25
27 APR 2026,130,136,129.75,134.75,446,421459,56239483
24 APR 2026,126,130.75,124.75,129.25,228,289676,36593947.75
23 APR 2026,125.75,126,124,125.5,104,119775,15006478.75
22 APR 2026,127.5,127.5,125,125.75,93,67821,8497010.5
21 APR 2026,125,128,125,125.25,138,210161,26457841
20 APR 2026,125,125.5,120,125,154,472371,58742366.75
17 APR 2026,124.5,125,121.75,125,137,464676,57798218
16 APR 2026,121,124,120.75,122.75,191,295377,36204803.5
15 APR 2026,120,121,118.5,120.25,100,139247,16714234.25
10 APR 2026,117,120,117,120,117,49477,5902422.5
9 APR 2026,117,117,115,116.25,50,21093,2440100.5
8 APR 2026,114,120,114,116,97,48867,5731260
7 APR 2026,114,114,112,112,56,34254,3867352.5
6 APR 2026,112,113.5,110,112.5,101,45141,5072945.25
2 APR 2026,111.5,113.75,111,112.25,101,55107,6165653.25
31 MAR 2026,113.5,113.5,109,109.5,108,359628,39650055
30 MAR 2026,112,112,110,110.5,68,16545,1829390
27 MAR 2026,114.25,114.25,111,112.25,81,50683,5689084.25
26 MAR 2026,115.5,115.5,111,112,79,63763,7150051.5
25 MAR 2026,111.25,115.25,111.25,114.25,111,146882,16560759.5
24 MAR 2026,110.5,113.25,109.25,110,136,98683,10935874.75
23 MAR 2026,107,108.5,106,107.75,176,112781,12073450
20 MAR 2026,107.25,112,107.25,108,190,108251,11732851.25
19 MAR 2026,110,111.25,107.25,107.5,134,1084495,116371451.5
18 MAR 2026,110,111,108.5,110.25,156,70460,7739886
17 MAR 2026,110.25,112.5,109.75,110.5,228,233473,25927378.25
16 MAR 2026,114.5,114.5,110.25,111.5,218,145400,16216441.5
13 MAR 2026,116.25,116.25,115,115.75,103,114776,13237768.5
12 MAR 2026,118.25,118.25,116,116.25,121,105753,12303227
11 MAR 2026,119.5,119.5,117,118.25,86,63603,7542762.75
10 MAR 2026,116,119.75,116,119,82,79031,9405541
9 MAR 2026,116,119,113,113.75,256,514947,58663895.75
6 MAR 2026,119.75,120,117,118,114,70607,8335739.25
5 MAR 2026,118,120,118,118.75,97,56936,6784024.75
4 MAR 2026,117,119.75,116,117.75,255,361814,42519699.75
3 MAR 2026,120,122,116.5,118.5,412,276612,32823190.75
27 FEB 2026,126.75,126.75,124.25,125.75,57,31948,3995924
26 FEB 2026,126,126.5,124.5,125,66,86543,10841471.5
25 FEB 2026,126.25,126.75,124.25,126,54,28609,3594166.25
24 FEB 2026,126.25,126.25,123,124.75,94,65179,8120763.25
23 FEB 2026,126.25,127,125,125.75,83,22305,2814674
20 FEB 2026,125,128,122.5,126.25,126,125891,15715875.5
19 FEB 2026,121,129,120,123.5,216,613952,77592660.25
18 FEB 2026,119.75,121,119,121,92,84773,10163998.75
17 FEB 2026,123.25,123.25,111,119.5,208,56515,6825855.75
16 FEB 2026,124.5,124.75,122.5,123.5,86,10710,1323507
13 FEB 2026,125,125,123,124.5,84,68994,8561434.5
12 FEB 2026,123,123.25,122.5,122.5,50,25797,3170233.75
11 FEB 2026,123.5,124.5,123,123,72,33116,4076319.25
10 FEB 2026,124.75,124.75,123,123.25,72,113739,13999142.5
9 FEB 2026,123.75,125,123,124,119,122902,15209847.25
6 FEB 2026,124.5,125,123.5,124.25,82,142342,17719783.75
5 FEB 2026,125,126,123.5,124.75,67,43870,5471461
3 FEB 2026,124.5,128,124,124.5,106,144125,18121927.25
2 FEB 2026,126,126,124.5,124.75,75,59671,7433089.25
30 JAN 2026,125,127,123.75,125,79,145261,18126307
29 JAN 2026,124,125.5,122.25,125,114,35301,4374175
28 JAN 2026,125.25,127.5,122,123.5,143,114612,14452634.5
27 JAN 2026,129,129,125.5,126,105,214755,27103124.5
26 JAN 2026,125,129,125,128,123,210287,26736195.25
23 JAN 2026,127.75,128,125,125,152,216744,27471000.75
22 JAN 2026,130.75,130.75,126,127,166,199442,25346334.75
21 JAN 2026,123.5,134,121,130.25,558,1058537,136896754
20 JAN 2026,125,125,122.25,123.5,109,107178,13206947.75
19 JAN 2026,125.25,126.5,122.5,124.5,149,127178,15819998
16 JAN 2026,128,130,125,125.25,250,193203,24657347.75
14 JAN 2026,126,129.75,125,128,398,637070,81456031
13 JAN 2026,120,125.75,119,124.25,398,964098,117677297.75
12 JAN 2026,120.75,120.75,116.5,119.5,247,182162,21660203.75
9 JAN 2026,117,122.75,117,121.25,516,1196193,144098604.75
8 JAN 2026,116,118,114.25,116.75,240,358067,41553077.5
6 JAN 2026,115,116.5,115,115.25,169,323379,37444054
5 JAN 2026,111,116,111,114.5,168,152496,17410484.75
2 JAN 2026,108,112.75,108,110.5,162,138512,15245011.5
31 DEC 2025,108,110,106,106.75,158,39298,4266248.75
30 DEC 2025,105.5,108,104,107,67,16476,1758677
29 DEC 2025,104.5,105.5,103.5,105.5,53,77351,8132428.75
26 DEC 2025,105.5,105.5,102,103.25,109,27487,2871775
24 DEC 2025,103,105.5,103,105.25,37,153857,16158096
23 DEC 2025,104.5,105.25,102,105,54,79876,8382059.75
22 DEC 2025,105,105.5,104,105,66,74692,7845266.5
19 DEC 2025,103.5,104.75,103.5,104,32,16391,1705979.75
18 DEC 2025,106,106,102,103,65,18367,1892403.5
17 DEC 2025,104,105,103,104.75,45,15023,1570135
16 DEC 2025,103,105.5,102,105,93,61988,6480579
15 DEC 2025,105.5,106.5,105.25,105.5,59,85873,9066955
12 DEC 2025,104.75,106.5,103.25,106,76,168995,17858996.25
11 DEC 2025,104.75,104.75,101,101,85,20015,2037634.25
10 DEC 2025,102.75,107,102.5,102.75,121,64285,6643606
9 DEC 2025,102.25,103,100.5,102,117,83020,8495850.25
8 DEC 2025,100,103.5,99,100.75,173,177445,17817335.9
5 DEC 2025,103.5,103.5,99.5,100.5,212,143311,14436718.25
3 DEC 2025,106,106,100.5,103,192,115358,11811621.25
2 DEC 2025,103.25,107,101.5,103,119,38987,4069459.5
