Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
8 MAY 2026,236,244,235,242.25,309,106975,25642274
7 MAY 2026,233.5,235.75,233.5,235,221,111610,26220699
6 MAY 2026,231,234,231,233.5,208,79816,18562648.25
5 MAY 2026,230,232.25,229.5,230.5,166,41760,9626048.75
4 MAY 2026,231.5,233,229.75,233,254,90468,20980099.75
30 APR 2026,232,232.5,230.5,231.5,162,61741,14299310
29 APR 2026,231.5,232,229.5,231.75,176,63315,14631925
28 APR 2026,233,233,230.25,230.75,90,55232,12752737.5
27 APR 2026,230,232,229.25,230.75,140,147509,34011501.5
24 APR 2026,230,231,229.5,230.5,125,47933,11032863.25
23 APR 2026,231,231,228.5,230,120,25455,5845391.25
22 APR 2026,233,233,229,231,184,44896,10339072.75
21 APR 2026,233.5,234.25,231,233,120,49542,11518518.75
20 APR 2026,234.5,235.25,230,233.5,183,68650,16067756.75
17 APR 2026,231,236,231,235,337,500693,117613867.5
16 APR 2026,223.5,231,223.5,230,293,385069,87085635.25
15 APR 2026,221,224,219.5,223.25,216,189075,42036212.5
10 APR 2026,223,223,220.5,221.5,195,188338,41669423
9 APR 2026,224,224,220.5,221.25,127,70116,15515565
8 APR 2026,220.5,229.75,220.5,223.75,219,143276,32172860.5
7 APR 2026,218,219,216,216.75,108,35050,7592017.25
6 APR 2026,217,218.75,214.25,215.5,262,326746,70269951.75
2 APR 2026,216,220,214,215,343,202753,43894393
31 MAR 2026,219.75,219.75,213,215,145,540988,116477533.75
30 MAR 2026,220,220,210,217,326,268540,57853922.25
27 MAR 2026,225,226.5,222.5,223,125,36996,8302540
26 MAR 2026,228,228,218.25,224.25,220,326491,73537205.5
25 MAR 2026,219,227,218.5,225,360,516383,115910197
24 MAR 2026,208,220,208,215.75,313,462677,98571553.25
23 MAR 2026,205,207,199,205.25,299,691518,141494480.25
20 MAR 2026,198.5,208,198.5,207.5,282,558616,113617744
19 MAR 2026,203.5,203.5,197.5,198.25,624,348519,69342121.5
18 MAR 2026,203,210,201,203,437,456031,92610689
17 MAR 2026,213,213,204,205,636,224947,47382023
16 MAR 2026,217,217,209,213.5,622,196712,41833022.25
13 MAR 2026,224.25,224.25,218.75,219.5,550,296129,65130265
12 MAR 2026,230,230,221.5,225,284,59682,13527400.25
11 MAR 2026,230,233.5,229.75,230,163,116174,26746064.5
10 MAR 2026,225,230,225,229.25,209,108860,24818492.5
9 MAR 2026,232,232,223.5,224.75,696,627991,141733291.25
6 MAR 2026,235,235,233,233.25,185,59803,13948784.5
5 MAR 2026,233.75,236,233,236,253,74499,17440500.5
4 MAR 2026,230,240,228,233.75,459,173940,40454069.75
3 MAR 2026,234.5,240,230,230.25,872,798727,186786274.75
27 FEB 2026,245,246,243,244.75,149,44616,10919223.75
26 FEB 2026,240,246.5,238.5,244.75,256,208234,50687878
25 FEB 2026,239,240,238.5,239,158,238904,56696868.75
24 FEB 2026,240,240,239,239,145,71048,16996727.75
23 FEB 2026,242,242,239,239.5,141,31371,7515071
20 FEB 2026,240,241.75,238.5,239.25,188,125266,29949430
19 FEB 2026,239.5,241,238.75,240.25,224,742959,178309210.25
18 FEB 2026,239,239.5,238.5,239,148,68040,16259365.75
17 FEB 2026,239.75,240,239,239,137,59172,14144747.25
16 FEB 2026,239,239.75,238.25,239,197,62572,14957472.25
13 FEB 2026,239.5,239.5,238.5,238.75,187,640632,153044412.5
12 FEB 2026,239,239.75,238.25,239.25,122,21327,5100456.25
11 FEB 2026,239.25,239.5,238,239,147,95372,22792800
10 FEB 2026,239,239.5,239,239,190,149009,35616790.25
9 FEB 2026,239,239.75,239,239,190,69446,16606496.25
6 FEB 2026,240,240,239,239.5,205,249631,59714258.25
5 FEB 2026,240.5,240.5,238.75,239.25,234,191105,45810179.5
3 FEB 2026,240,242,238.5,240.25,333,1688115,403869929.5
2 FEB 2026,240,240.5,238,239.75,229,36537,8751891
30 JAN 2026,244,244,238,240.75,419,336973,81011231.75
29 JAN 2026,244.75,245,243.25,244.25,524,452637,110510129
28 JAN 2026,244.75,247,241,243,504,698397,170973069.25
27 JAN 2026,236,245,236,240.5,548,377023,90557887.25
26 JAN 2026,234.75,238,232,237,453,257512,60686808.75
23 JAN 2026,235,235,231.25,232.5,655,204667,47898921.25
22 JAN 2026,242,244.75,229.5,232.75,2376,1261707,294824254.25
21 JAN 2026,219,260,219,248.5,2295,2846008,680100876.25
20 JAN 2026,213,219,212.75,218,413,607088,130513234.5
19 JAN 2026,211,213,211,212,343,768701,162992503.5
16 JAN 2026,210.25,212.5,210.25,211,296,220223,46562104
14 JAN 2026,207,212.75,207,210.25,290,724434,150726127.25
13 JAN 2026,207,209,205,207,203,141163,29022550.75
12 JAN 2026,209.5,209.75,206,206.5,264,125085,25871702.5
9 JAN 2026,206,209,206,207.75,223,346253,71506154.25
8 JAN 2026,206,206.75,204,206,260,189036,38785873.5
6 JAN 2026,202,206.5,200.25,205.75,425,495523,101688181.25
5 JAN 2026,198,202,197.75,199.75,295,162784,32399702.75
2 JAN 2026,196,198,196,197.25,190,144062,28332973.25
31 DEC 2025,194.25,196,194.25,195.75,159,123632,24090448.25
