Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
8 MAY 2026,119.75,121,117,120.25,101,60170,7194864
7 MAY 2026,120,120,119,119.75,75,77347,9272525
6 MAY 2026,116,121,116,119.5,42,12963,1544331.75
5 MAY 2026,119.5,119.5,116,116.5,102,31549,3690173.25
4 MAY 2026,117,121,117,120,49,8440,1011300
30 APR 2026,119.75,119.75,116.75,118.75,88,17339,2042725
29 APR 2026,121.25,121.25,118,119.5,93,43510,5169326.25
28 APR 2026,114.5,123.25,110.25,121.75,341,454991,53524214.75
27 APR 2026,115,115,113.5,114,81,54040,6168561
24 APR 2026,115,115,114,115,39,25316,2907956
23 APR 2026,115.5,117,114,114.75,100,177632,20420736.5
22 APR 2026,115.5,116,115,115.5,93,58632,6772102
21 APR 2026,113.25,117.5,112.75,115.25,86,66530,7654500.25
20 APR 2026,117,117,113,114.5,249,248640,28500848.25
17 APR 2026,114.75,117.5,114,116.75,240,272606,31364497.5
16 APR 2026,109.5,115,109.25,113.75,332,419618,46724863.75
15 APR 2026,110,111.75,109,109.25,139,243293,26744489.5
10 APR 2026,109.5,109.5,107.5,107.75,131,97020,10547654.25
9 APR 2026,110,110,106.5,107,105,307791,32574525.25
8 APR 2026,107,114,107,109.5,236,509410,55455322.75
7 APR 2026,104.5,104.5,102,103.5,63,15838,1636466
6 APR 2026,102.5,104.5,99,104,201,130362,13137495.75
2 APR 2026,104,105,102,102.5,66,19670,2026918.25
31 MAR 2026,100,104.75,100,102.5,138,37652,3788186.75
30 MAR 2026,102.75,102.75,100,100.25,198,105064,10557354.5
27 MAR 2026,104.75,106.75,104.75,105,45,11942,1260921.25
26 MAR 2026,105.5,105.5,102,103.25,146,62176,6458458.25
25 MAR 2026,105,111,105,106.5,325,355181,38223715
24 MAR 2026,101,109.5,100,102.75,334,370142,37584468
23 MAR 2026,100,103.5,98,100,168,75525,7557877.4
20 MAR 2026,98.5,109.5,98.5,106.75,181,218517,22433919.75
19 MAR 2026,100.25,101.75,97.9,98.3,185,124630,12343053.7
18 MAR 2026,98.2,105,98,102,154,61519,6170570.25
17 MAR 2026,101,108.75,96,98.2,266,105184,10638108.15
16 MAR 2026,104.75,107,100,100.5,357,178100,18070592.5
13 MAR 2026,114,114,108,108.5,375,240924,26518383
12 MAR 2026,117.5,118,114,114.5,91,18841,2165776.75
11 MAR 2026,120,121,116,118,80,48628,5778511.75
10 MAR 2026,115,120,115,118,90,25696,3051019.75
9 MAR 2026,115,116.75,110,112.75,283,346090,38598588
6 MAR 2026,120,120,115.5,117.75,277,169096,19831142.5
5 MAR 2026,122,124.75,118,119.25,438,394969,47187184
4 MAR 2026,122,125,119,120.75,325,221755,27307388.25
3 MAR 2026,131,131,121.25,122,287,138401,17334633
27 FEB 2026,132,134.25,131.25,133.25,28,5661,750325.5
26 FEB 2026,131.5,134,130.75,132,77,222634,29376723
25 FEB 2026,134,134,130,131.5,127,64130,8381738.5
