Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
14 MAY 2026,91,91,89.9,91,12,1643,149411.7
13 MAY 2026,91.9,91.9,89.6,89.9,58,32562,2942388.9
12 MAY 2026,91,92,90.6,91.2,36,4833,440790.9
11 MAY 2026,92,92.9,92,92.4,14,6539,602540.3
8 MAY 2026,91.2,93.5,91,93,23,40470,3763959.7
7 MAY 2026,92,92,91,91.4,45,7722,708067.9
6 MAY 2026,92.8,93,91.9,92,33,14693,1352582.8
5 MAY 2026,91.5,91.9,91,91.4,36,8074,737215.7
4 MAY 2026,90,92,90,91.7,107,61117,5614004.1
30 APR 2026,86.3,90,85,89.8,99,95627,8529604.2
29 APR 2026,85.7,86,85.2,85.6,19,1467,125682.4
28 APR 2026,85.2,85.7,83.5,83.7,34,3847,328229.3
27 APR 2026,84.5,85.2,83.5,83.5,13,1233,103878.3
24 APR 2026,83.4,86.1,83.3,84.8,23,3637,304172.1
23 APR 2026,88.9,88.9,83.4,85.5,7,139,11878
22 APR 2026,85.1,89.9,81.3,81.5,61,56137,4649845.6
21 APR 2026,86,86,85,85.1,50,9921,851606.1
20 APR 2026,88,88,85.7,86,17,2464,212147.5
17 APR 2026,84,85.6,83.9,85.6,29,3226,271736.4
16 APR 2026,84,84.3,83,83.5,85,13955,1168121.6
15 APR 2026,83.2,84,83,83,26,1898,158389.9
10 APR 2026,84.9,84.9,83,83.2,34,4545,382932.5
9 APR 2026,82,82,81.6,81.9,28,4394,360223.1
8 APR 2026,80,82.5,80,82,52,25390,2064421
7 APR 2026,79.9,80,79.5,79.6,32,21459,1715487.2
6 APR 2026,80,80,79,79.9,56,15370,1226856.9
2 APR 2026,80,80,79.8,79.8,21,3059,244578.8
31 MAR 2026,80.7,80.7,79.3,79.5,22,1919,153969.1
30 MAR 2026,79.5,80.7,79.5,80.6,21,6259,503189.3
27 MAR 2026,80,80,79.6,79.8,17,1468,117265
26 MAR 2026,81.1,81.9,79.1,79.5,21,4994,398124.7
25 MAR 2026,82.5,82.5,81,81.1,37,9303,761587
24 MAR 2026,77.9,80,77.1,78.2,51,16514,1310686.7
23 MAR 2026,78,78.1,74,77,91,16317,1231554
20 MAR 2026,78.1,79.7,78.1,79.7,17,2518,198416.9
19 MAR 2026,80,80,78.1,78.1,40,7199,570165.9
18 MAR 2026,82.7,82.7,79.6,80,19,1917,153507.5
17 MAR 2026,82.8,82.8,79,79.6,53,13223,1057361.4
16 MAR 2026,83.4,83.4,79,82.8,46,19967,1587276.1
13 MAR 2026,83.7,83.7,80.1,83.4,53,8301,672844.2
12 MAR 2026,87,87,83.5,83.7,12,1148,96812.1
11 MAR 2026,83.5,87,83.5,84.5,25,2691,229538.5
10 MAR 2026,82,83.6,82,83.6,30,12737,1064485.2
9 MAR 2026,82.6,84,82.6,83.2,32,4159,346545.3
6 MAR 2026,87.5,87.5,82,83.6,74,13084,1118248.1
5 MAR 2026,87.7,87.7,86.6,87.1,13,4267,371430
4 MAR 2026,86,87.8,85,86.2,35,6061,522488.4
3 MAR 2026,85,87.2,79.6,87,102,49159,4109634.9
27 FEB 2026,89.2,89.2,87,89.1,13,3888,341647.9
26 FEB 2026,89.1,89.2,86.1,87.2,51,8727,757846.3
25 FEB 2026,88.4,89.4,88.4,89.2,8,1141,101778
24 FEB 2026,89.4,89.4,88.5,88.8,26,1161,103240.4
23 FEB 2026,89.2,89.3,89,89,7,660,58757.5
20 FEB 2026,89.7,89.7,89,89,35,4397,391938.6
19 FEB 2026,90.5,90.5,89.3,89.5,46,28656,2574879.9
18 FEB 2026,90,90.5,89.4,89.5,18,7602,683332.4
17 FEB 2026,91,91,89.9,90,21,2599,234253.8
16 FEB 2026,89.7,91,89,89.4,36,11570,1032108.7
13 FEB 2026,93.9,93.9,89.5,90.1,26,6461,584791.2
12 FEB 2026,89.1,94,89.1,89.9,20,7120,639637.8
11 FEB 2026,89.3,89.5,89,89.3,33,4592,409731.6
10 FEB 2026,90,90,89.6,89.7,24,17800,1598100.7
9 FEB 2026,90,90,89.6,90,18,4088,367874.2
6 FEB 2026,89.8,90,88.7,89.9,27,12988,1167350.3
5 FEB 2026,89.9,90,88.5,88.7,83,82664,7354236.9
3 FEB 2026,88.6,89.5,88.5,88.5,32,44735,3959569.1
2 FEB 2026,89,89,88.4,88.4,35,6493,575452.2
30 JAN 2026,89.9,91,88.7,88.9,57,12181,1089241.1
29 JAN 2026,90,90,89.6,89.8,34,6143,552083.3
28 JAN 2026,91.5,91.5,89.7,90,21,3683,334169.7
27 JAN 2026,92,93.5,89.9,90,46,10248,924433.8
26 JAN 2026,89.4,91.7,89.4,90.3,22,3081,276730
23 JAN 2026,89.5,92,89.5,90.3,51,14772,1331869.5
22 JAN 2026,90.5,92.3,89.5,89.6,60,23823,2145946.9
21 JAN 2026,90.1,91,90.1,90.6,30,6768,611920
20 JAN 2026,90.9,90.9,90.1,90.2,17,2048,184756.6
19 JAN 2026,90.8,90.9,90,90.1,57,15315,1383101.7
16 JAN 2026,92,92,90.3,91,30,6632,601169.6
14 JAN 2026,90.3,92,90.3,91.2,21,4395,399990.7
13 JAN 2026,93,93,90.2,90.6,45,6523,597258.7
12 JAN 2026,91,94,91,93,18,5960,543528.5
9 JAN 2026,92.3,92.3,90.6,91.1,25,947,86663.9
8 JAN 2026,92.7,92.7,92.1,92.3,65,25249,2335431.7
6 JAN 2026,92.3,92.7,92.2,92.3,22,1938,178811.1
5 JAN 2026,93,93,92.2,92.5,27,4794,444918.1
2 JAN 2026,93,93,91.1,92.3,51,8893,820875.8
31 DEC 2025,92,92.7,92,92,61,11453,1055847.9
30 DEC 2025,91.4,91.5,90.6,90.7,13,2410,219287.9
29 DEC 2025,91,91.5,89.7,90.7,24,2651,241849.2
26 DEC 2025,90.5,91.6,89.5,91.2,11,1293,117911.7
24 DEC 2025,90,92,89.9,89.9,24,1951,176314.1
23 DEC 2025,89,90,89,89.9,22,7329,655605.5
22 DEC 2025,90.5,90.9,89,89,23,3247,290528.9
19 DEC 2025,91.9,92.7,89.5,90.7,12,1415,129291
18 DEC 2025,88.9,91.5,88.9,88.9,7,3831,340578.8
17 DEC 2025,88.6,90,88.6,89.2,11,10120,909122.5
16 DEC 2025,88.8,90,88.6,88.9,23,7701,684743.4
15 DEC 2025,91.8,91.8,88.7,88.7,23,5250,466600.9
12 DEC 2025,88.8,91.9,88.6,88.9,32,17556,1564076.8
11 DEC 2025,90.1,91.9,89.7,89.9,39,26736,2405383.8
10 DEC 2025,90,92,89.7,89.9,37,5834,527169.6
9 DEC 2025,88,91.5,87.7,89.9,41,3324,293596.7
8 DEC 2025,87.9,88.1,86.5,88,61,7929,695286.9
