Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
12 MAY 2026,190,193.25,188,192,177,563398,108086915
11 MAY 2026,188,190.25,187,190,137,68933,13044967
8 MAY 2026,188.75,189,187,188.75,160,198663,37194511.5
7 MAY 2026,187.5,189,187,189,144,72376,13667261.25
6 MAY 2026,186.75,189,186,187.75,121,25231,4746218.25
5 MAY 2026,186,186.75,185,185.5,172,39710,7360099.75
4 MAY 2026,183,185.75,182.5,185,150,183016,33535243.25
30 APR 2026,184,184,182,183,141,931216,170915237
29 APR 2026,184.25,184.25,183,184,63,84379,15473923.5
28 APR 2026,185,185,183,183,45,24174,4426868.75
27 APR 2026,182.75,183.75,182.5,183,61,22118,4048464.5
24 APR 2026,183.5,183.75,182,183,44,16856,3085785
23 APR 2026,183.5,183.5,182.5,183,61,64480,11797885.25
22 APR 2026,182.5,183.5,182.5,183,89,143453,26253761.5
21 APR 2026,181,182.5,180.5,182,81,58186,10568142.75
20 APR 2026,179.5,181,179,180.75,78,136737,24589538.5
17 APR 2026,180.5,180.75,179,179.75,86,21697,3901313
16 APR 2026,180,180,179.75,180,81,31832,5729209
15 APR 2026,179,181,177.5,180,66,35467,6380997.5
10 APR 2026,178.25,179,177,177.5,63,8321,1480444.75
9 APR 2026,174.5,174.5,173,173,56,11341,1971087.75
8 APR 2026,174.75,175.25,172,175,95,19706,3425437
7 APR 2026,172,172,167,169.5,60,10579,1776515.25
6 APR 2026,173,173.25,167.5,169.5,107,4795268,815200558.25
2 APR 2026,168,172,167.5,170.75,87,91302,15503167.5
31 MAR 2026,167,169.5,165.25,168,54,8490,1416372.75
30 MAR 2026,170,170,166.75,167,71,7683,1289289
27 MAR 2026,172,172,169,170,43,5409,920557.5
26 MAR 2026,172.75,172.75,168,169,84,43538,7412363.75
25 MAR 2026,168,175,168,173.5,124,2654084,455203396.25
24 MAR 2026,165,171.75,164,165,192,842768,139087616.25
23 MAR 2026,165,165,162,163.5,113,35074,5710192
20 MAR 2026,161.75,166,161.75,165,58,22809,3762335.25
19 MAR 2026,165,165,162,162,137,218995,35599143.75
18 MAR 2026,162,167,161,165,104,89445,14759763
17 MAR 2026,164,168,163,163.25,149,158179,26018470.75
16 MAR 2026,164.25,165,158.5,163.75,189,31528,5089304.75
13 MAR 2026,170,170,164,165,209,2447708,401476473.5
12 MAR 2026,169.75,170,166.25,166.75,235,2729282,450449011.25
11 MAR 2026,173,175,170,170.25,123,59862,10238745.25
10 MAR 2026,170.25,174,169.75,173,83,16245,2788616.25
9 MAR 2026,174,174,160,170.25,246,73198,12153109.5
6 MAR 2026,174.75,175,172.75,173,172,18316,3183644.75
5 MAR 2026,175.5,177,173.5,174.5,203,27754,4869314.75
4 MAR 2026,176.5,176.75,174.5,175,271,95416,16761399
3 MAR 2026,181,181.75,175,176.25,388,189552,33838824
27 FEB 2026,184,184.75,182,184,83,48139,8822473.5
26 FEB 2026,183.5,184,182,183.5,50,20793,3814046.25
25 FEB 2026,182,184,180.5,181,112,508280,92324256.75
24 FEB 2026,184,184,180,182,105,32019,5826389.25
23 FEB 2026,180,184.75,180,184,103,412044,75013247.5
20 FEB 2026,183.5,183.5,180,181.25,122,45923,8324885.75
19 FEB 2026,184,185,182.25,183,93,263465,48230293
18 FEB 2026,183,183,181.75,182,106,100916,18396894
17 FEB 2026,181,182.5,181,182,122,82116,14937045.75
16 FEB 2026,182.75,182.75,180,181,75,7441,1348356.25
13 FEB 2026,181,182,179.5,180,84,213322,38392579
12 FEB 2026,181.5,182,179.5,180.25,98,35843,6450993.25
11 FEB 2026,182,182,180.5,180.5,82,403448,72898333.25
10 FEB 2026,181.25,183.75,180.75,181.75,63,56661,10309165.5
9 FEB 2026,180,184,179.75,182,108,1991938,358170533.5
6 FEB 2026,179.5,180,179,179.5,105,1021531,182863159.5
5 FEB 2026,180.75,180.75,179.5,179.5,158,109239,19660785.5
3 FEB 2026,181,183,180,180.75,108,37622,6804134.25
2 FEB 2026,184.25,184.25,180,181.25,118,36253,6582508.5
30 JAN 2026,183.5,185,183,184.25,50,29015,5336137
29 JAN 2026,186,186.5,183.25,185,108,139922,25820946.25
28 JAN 2026,186.5,186.5,185,185.25,82,23635,4396041
27 JAN 2026,186,186,184.5,185.5,115,129311,23933043.25
26 JAN 2026,181.75,186,181.75,185.25,231,855110,157799565.75
23 JAN 2026,180,184.5,179.5,181.75,90,149582,26955585.5
22 JAN 2026,181,181,179.5,179.75,98,99973,17998342.75
21 JAN 2026,181.5,183,179.25,180,202,522793,94090734.5
20 JAN 2026,183,183,180,180.5,105,303721,54772535.25
19 JAN 2026,183,183,180,180.25,169,274939,49568787.5
16 JAN 2026,180,180,179,180,140,179326,32271310.5
14 JAN 2026,178,181,176,180,167,388012,69812819.25
13 JAN 2026,176,178,174.75,175.5,245,1147284,200806231
12 JAN 2026,176.5,178,175.5,176,136,291175,51229104.5
9 JAN 2026,179.75,179.75,175,176.25,138,392690,69203463.75
8 JAN 2026,179.25,179.75,177.5,178,128,335649,59858225.5
6 JAN 2026,175.75,179,175.75,177,125,102793,18207284
5 JAN 2026,177.25,178.25,174.5,175,145,182000,31899165.75
2 JAN 2026,175,177.25,173.5,174,201,590422,102742252.25
31 DEC 2025,178,178,173.5,174,107,908754,158396758.75
30 DEC 2025,167,179.25,165.75,174,162,75366,12692373
29 DEC 2025,167,167,166.25,166.5,134,70655,11779734.75
26 DEC 2025,167,168,166.5,166.5,170,103353,17273033.75
24 DEC 2025,170,170,166,167.25,170,38174,6405843.5
23 DEC 2025,170,170,168.5,168.75,120,60648,10289374.25
22 DEC 2025,171,174,169.25,170,176,441514,74881187.25
19 DEC 2025,175,175,170,171.25,140,246556,42340852
18 DEC 2025,175,175,172,173,120,77935,13457545.5
17 DEC 2025,174.75,175,173.25,174,58,18483,3228472.25
16 DEC 2025,179.5,179.5,173.5,174,68,81531,14218739.25
15 DEC 2025,173.5,174,172,172.5,150,100303,17358187
12 DEC 2025,175,175,173.5,173.5,83,112806,19578691
11 DEC 2025,175,175,174,174,97,214738,37410424.25
10 DEC 2025,175,175,173.5,174.75,187,288240,50382645.5
9 DEC 2025,174.5,175,173,173.25,141,119201,20668292.75
8 DEC 2025,175,175,172.5,173.5,130,51304,8961612.25
5 DEC 2025,175.25,176,172.75,173.5,149,126937,22078178.5
3 DEC 2025,178,178,174,175.25,214,97602,17123170.75
2 DEC 2025,178,181.25,178,180,198,596963,107418792.25
1 DEC 2025,182,183,177.75,180.25,199,229501,41408013.75
28 NOV 2025,183,184,182,183,49,63073,11537866.25
27 NOV 2025,184,184,182.75,183,70,37710,6902232.25
26 NOV 2025,190,190,182,183.5,152,691156,126396100
25 NOV 2025,182,185.5,181,184,252,573049,104031504.75
24 NOV 2025,184.25,184.25,181.25,181.75,85,26292,4787414
21 NOV 2025,183,184.25,182.5,182.5,96,74529,13610498
20 NOV 2025,185.5,185.5,183,183,188,640316,117245409.5
19 NOV 2025,184.75,185,184,185,94,42799,7904366.75
18 NOV 2025,186,186,185,185.5,143,186848,34692630.25
17 NOV 2025,187,190,184,186,117,89588,16727757
14 NOV 2025,192,192,186.5,187.75,111,18015,3421261.75
13 NOV 2025,192,192,191,191.5,94,167401,32042486.25
12 NOV 2025,192.5,192.5,191,191.5,82,44976,8626047.25
11 NOV 2025,192.75,192.75,191,192.5,65,20431,3932206.5
10 NOV 2025,190,192.75,189,192,320,830379,159051231.25
7 NOV 2025,189.75,190,189,189.5,86,196430,37217068
6 NOV 2025,189.75,191,188,189,98,80571,15246593
4 NOV 2025,191,191,189,189.75,99,186148,35353105.25
3 NOV 2025,190,192.75,190,190,93,375785,71404329.5
31 OCT 2025,190,194.75,188,189.5,128,170412,32409191
30 OCT 2025,191,192,189,190,163,334347,63567294.25
29 OCT 2025,191,192,190.75,191.25,87,143668,27516492.25
28 OCT 2025,192,192,190.25,191,104,191168,36535715.75
27 OCT 2025,191,192,190.5,191.5,98,291868,55765187.25
24 OCT 2025,192.75,192.75,190,190.25,150,550867,105059372.5
23 OCT 2025,191.5,194.25,191,192,177,280350,53938356.25
22 OCT 2025,190.5,191.5,190.25,191,114,391361,74754808.25
21 OCT 2025,191,191,190,190.75,116,134289,25616487.5
17 OCT 2025,190,191.5,188.25,190.5,107,107643,20466722
16 OCT 2025,193,193,189.75,190,108,270086,51513652
15 OCT 2025,192.75,194.5,191,191,101,377326,72891932.75
14 OCT 2025,191.75,194,191,193,85,152758,29472035.25
13 OCT 2025,191.5,192,187,191.75,124,253234,48370439.75
10 OCT 2025,191.5,192,188.5,191.75,106,479477,91747227.25
9 OCT 2025,189.75,193,189.5,191.5,121,595860,114190545.25
8 OCT 2025,194,194,189.5,191.75,171,501166,95746189.25
7 OCT 2025,192,195,192,194,224,690038,133524521.25
3 OCT 2025,182,195.5,182,191.5,351,553107,102303950.5
2 OCT 2025,174.75,182,174.5,180.25,276,2019725,363603431.25
1 OCT 2025,171,174,171,173.5,196,573498,99463090.25
30 SEP 2025,169,172.5,167,171,215,405192,68936436.75
29 SEP 2025,165.75,169,165.25,169,187,445467,74682357.25
26 SEP 2025,165,167,165,166,341,2242836,371849636
25 SEP 2025,166,166,163.75,164.75,221,1060101,174758603
24 SEP 2025,162,166,161,163.75,72,148329,24008641.25
23 SEP 2025,162.75,162.75,161,162,70,50766,8186521.75
22 SEP 2025,162.5,162.75,161.5,162.5,28,4161,674477.75
19 SEP 2025,160,162.75,159.25,161,55,68759,11112604.25
18 SEP 2025,159,159.75,157.75,159.5,66,12354,1961335.5
17 SEP 2025,158,158,157.5,157.5,43,21969,3464851.5
16 SEP 2025,159,159,155,155.5,123,12150,1895851.75
15 SEP 2025,159,159,156.5,157,105,8125,1281190.75
12 SEP 2025,161.25,161.25,159,159,79,14935,2384852.5
11 SEP 2025,163.5,164.5,160.25,161.25,83,33618,5497006.5
10 SEP 2025,163.5,163.5,162,162.25,63,31573,5156872
9 SEP 2025,164.75,164.75,163.5,164,68,198042,32581134.75
8 SEP 2025,164.75,165.25,164.5,164.5,50,40813,6729111.75
4 SEP 2025,165.25,165.25,165,165,37,50610,8351389.5
3 SEP 2025,164,165,163.5,165,78,424002,69913869.75
2 SEP 2025,163,165,163,164.25,77,197303,32523794
1 SEP 2025,163,165,162.75,164.25,91,154225,25125605.75
29 AUG 2025,163.5,163.5,160.75,162.75,102,19176,3113455.25
28 AUG 2025,162.5,164,161,162.5,63,12299,1999950
27 AUG 2025,162.75,164.75,162,162.5,89,30398,4975434.75
26 AUG 2025,162.75,163,161.5,162,48,10907,1768658
25 AUG 2025,162,164.75,160,162,122,39203,6291715.5
22 AUG 2025,165,165,162,162.25,102,221851,36161318.5
21 AUG 2025,164,165,163.5,164,26,8448,1387141
20 AUG 2025,163,165,163,164,80,78093,12761479.5
19 AUG 2025,165,165.25,163,163.75,82,37757,6224858
18 AUG 2025,162,165.5,160,165,154,530686,86585340.5
15 AUG 2025,158,161,157.5,160,78,186440,29776775
14 AUG 2025,159,159,158,158,53,19427,3071440
13 AUG 2025,158.5,159,158,158.5,39,278118,44450011
12 AUG 2025,158.5,158.5,156.5,158,48,31598,4967078.75
11 AUG 2025,158,158.5,157.5,158.5,78,493573,78175621.5
7 AUG 2025,157,159.75,156.5,158,53,29397,4682475.25
6 AUG 2025,158.5,159,156.5,157,84,244562,38423326.75
5 AUG 2025,154.25,160,154.25,155,84,125087,19734255
4 AUG 2025,160,160,155,156.5,128,110110,17249584.5
1 AUG 2025,159,160,158,159.5,88,92536,14756601.25
31 JUL 2025,159,162,158.5,158.5,108,931228,148355027.25
30 JUL 2025,155.5,163,155,159.75,228,382245,59908070.5
29 JUL 2025,152,155.5,152,154,116,530577,81702010
28 JUL 2025,152,154,150.75,152,77,394209,59976328.25
25 JUL 2025,149.5,151.5,149,150.25,85,56367,8465898.75
24 JUL 2025,148.5,149.75,148.5,149,53,85690,12746252
23 JUL 2025,148.75,149.5,148.25,148.5,53,63215,9401749
22 JUL 2025,150,150,148,148.5,71,12599,1878313.75
21 JUL 2025,150,151,149,149.5,67,30145,4508934.5
18 JUL 2025,149.5,151,149,150,44,47878,7179244.25
17 JUL 2025,151,151,148,149.5,78,40075,5999688.25
16 JUL 2025,153,153.5,151,151.25,53,9180,1388752.5
15 JUL 2025,155,155,152,152.25,78,39709,6079794.75
14 JUL 2025,149,154,147.75,153.5,152,193218,29260284
11 JUL 2025,148,148.75,147,148,83,107542,15881998.25
9 JUL 2025,145,148.5,145,147.75,40,53172,7830887.75
8 JUL 2025,146,149,145.75,146.25,48,12353,1817319.25
7 JUL 2025,149.25,149.75,146,147,94,421575,61999113.75
4 JUL 2025,148.5,150,146,149.75,98,168909,25190221.25
3 JUL 2025,147.5,148,145,147.5,83,85696,12610142.5
2 JUL 2025,147,148,147,147.5,59,28949,4270279.75
1 JUL 2025,146.5,147,146.5,147,34,15868,2326606
30 JUN 2025,146.5,146.5,146,146.5,50,20149,2947997.5
27 JUN 2025,146,147,145,146,64,92262,13471440
26 JUN 2025,145.75,146,145,146,90,186937,27149054.25
25 JUN 2025,144,146,144,145.75,133,428196,62064841.5
24 JUN 2025,141,144.5,141,143.75,109,195164,27938305
23 JUN 2025,140,142,139.25,139.25,136,255740,35794330.5
20 JUN 2025,144.25,144.25,142,142.5,31,17659,2516961
19 JUN 2025,142.75,144,142,142,124,283469,40255808.5
18 JUN 2025,142.5,144.5,142.5,143.25,100,159104,22874973.5
17 JUN 2025,141.5,145.75,141.5,144.25,83,472862,68531633.25
16 JUN 2025,141,145,135,143.75,133,326455,46741663.25
13 JUN 2025,144,144,140,143,147,182678,26084843.25
12 JUN 2025,146,146.5,144.75,146,93,80994,11809638.25
11 JUN 2025,146,146.5,145,146,123,308194,44988245.25
9 JUN 2025,146,146,144.25,144.5,77,8483,1227844.25
6 JUN 2025,145.5,146.5,145,145.5,87,307874,44892223
5 JUN 2025,145.5,147,145.25,145.5,93,104926,15292284.25
4 JUN 2025,147,148,145,145.75,80,36608,5391278.75
3 JUN 2025,146,147.5,145,146.5,131,294038,42924619
2 JUN 2025,149,149,146,146.25,137,179209,26381476
30 MAY 2025,148,149,145.5,148.5,101,321232,47680118.75
29 MAY 2025,147.5,148.5,145.75,147.5,51,68042,10052068
28 MAY 2025,148,148.75,145.25,147,75,260625,38574810.75
27 MAY 2025,145,148,145,147.25,80,1246848,184223605.25
26 MAY 2025,146,146,143.25,145,56,178473,25870694.5
23 MAY 2025,145,147,144.5,145,69,858674,124511538.75
22 MAY 2025,140,148,140,144.5,95,117821,16810951.5
21 MAY 2025,140,140.5,140,140.25,53,45533,6374895.25
20 MAY 2025,141,141,140,140.25,86,132721,18584411.25
19 MAY 2025,141.25,142,140.75,140.75,103,32839,4638859.75
16 MAY 2025,141,143,140,140.5,100,269297,37749292.5
15 MAY 2025,137.75,141,137.75,140.25,97,879248,122063333
14 MAY 2025,135,138.5,134,136.25,54,18125,2447457.75
9 MAY 2025,134.75,135,134.75,135,36,16323,2201068.75
8 MAY 2025,134,134.75,133,134,50,374534,50185164.75
7 MAY 2025,134,134,133,133,33,15261,2031924.5
6 MAY 2025,132,134,132,134,21,10873,1445184.5
5 MAY 2025,132.25,132.75,132,132,51,357114,47392477.75
2 MAY 2025,131.5,132.75,131.25,132.5,34,211066,27860150.5
30 APR 2025,128.25,132.25,128,131.5,56,354870,46257564
29 APR 2025,129,131,128,128.25,47,134425,17465437.25
28 APR 2025,129,129,128.5,129,32,14012,1805965.5
25 APR 2025,128,128.5,127.5,128.5,27,12743,1634608.5
24 APR 2025,126.5,127.5,126.5,127.5,9,726,92422
23 APR 2025,128.5,128.5,126,126.5,25,4908,624859.75
22 APR 2025,128,128.5,126,127.5,45,53285,6719166.25
21 APR 2025,128.25,128.5,126.25,127.5,53,13916,1774876.25
17 APR 2025,129,129,126,128,43,21894,2791792.5
16 APR 2025,129,129,128.5,129,37,11733,1511133.75
11 APR 2025,129,129,126.5,128.25,16,1017,129661.5
10 APR 2025,125,140,125,129,121,419792,54726013.25
9 APR 2025,123.25,125.75,123,123.5,39,34937,4317915
8 APR 2025,120.25,125.75,120.25,124,73,61770,7631623.75
7 APR 2025,125.25,125.25,117.5,120.25,213,193429,23280199.75
4 APR 2025,128,128,125.25,127.5,68,60774,7699711.5
3 APR 2025,132,132,127,128.25,67,29990,3851298
2 APR 2025,134,135,132.5,132.5,71,412727,55105463.25
1 APR 2025,129.5,132.5,129,132.25,44,48941,6413193
28 MAR 2025,129.75,129.75,125,127,39,12631,1592220
27 MAR 2025,129.75,129.75,127,129.25,20,5147,658445.25
26 MAR 2025,129.75,130,126,128.75,23,4928,625187
25 MAR 2025,128,128,127,128,9,650,83120
24 MAR 2025,130,130,127,127,35,411417,52259100.5
21 MAR 2025,125,130,125,128.25,24,14172,1816398
20 MAR 2025,125,127,125,127,18,16504,2088408
19 MAR 2025,123,126,123,124.75,22,12191,1511404.75
18 MAR 2025,125,125,123,123,91,75666,9310420
17 MAR 2025,129.5,129.5,125,125,67,33177,4156083.5
14 MAR 2025,129,130,129,129.25,8,1048,135254
12 MAR 2025,128,129,127,128.5,27,142510,18245447.25
11 MAR 2025,129.25,129.25,127,128,87,619082,79690700.25
10 MAR 2025,130.75,130.75,128,129.25,45,107279,13892420.5
7 MAR 2025,132,132,128,130.5,72,582212,75462507.5
6 MAR 2025,130,131.5,128,128,35,7691,986741.75
5 MAR 2025,128,131.25,127.75,130,21,35578,4620327.5
4 MAR 2025,129,129,127,128,49,425350,54423985.75
3 MAR 2025,134.75,134.75,129,129,97,125597,16212550
28 FEB 2025,132.75,134,132,133,100,323717,42890114.25
27 FEB 2025,134.75,135,131.5,133.25,64,51646,6882367.75
25 FEB 2025,140,140,135,135,163,466483,64205356.75
24 FEB 2025,140,140,138,138.5,121,292902,40669939
21 FEB 2025,139,140,139,139.5,87,224247,31354614.5
20 FEB 2025,140,141,135.25,137.5,61,118959,16582134
19 FEB 2025,141.75,142,139.5,140,157,240888,33753223.5
18 FEB 2025,140,143,138,140.25,145,887530,124376897.75
17 FEB 2025,134.5,140,129,135.75,106,670698,93436765.5
14 FEB 2025,127.75,134.25,127.25,131.75,144,1367215,179004055.25
13 FEB 2025,126.25,127,126.25,127,34,102827,13058305.75
