Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
8 MAY 2026,149.5,150,149,149.75,495,208678,31198603.5
7 MAY 2026,149,149.75,149,149.5,484,175209,26177876
6 MAY 2026,149,149.25,148.25,148.75,559,243194,36180293
5 MAY 2026,149.5,149.5,148.5,148.75,644,319207,47535932.25
4 MAY 2026,149,149.75,148.75,149.5,438,220823,32980316.75
30 APR 2026,149,149.25,148,148.75,680,140667,20889678.75
29 APR 2026,149,149.5,148.5,149,456,139069,20732792.25
28 APR 2026,149,149.75,148.25,148.75,528,133199,19839291.5
27 APR 2026,149,149.75,148.25,149,556,238133,35510768.75
24 APR 2026,149,149,147.75,148,729,219562,32549171
23 APR 2026,149,149.5,147.5,148.25,960,302338,44863604.75
22 APR 2026,149.5,149.5,148.5,149,594,227063,33820615
21 APR 2026,148.75,150,148.75,149,589,130303,19450104
20 APR 2026,150,150.25,148.75,149,854,371031,55456615.25
17 APR 2026,150,150.25,149,150,1159,668816,100153042
16 APR 2026,150,150,149.5,150,718,1128575,169248508.75
15 APR 2026,149,150,148.75,149.75,683,168940,25261896.5
10 APR 2026,149,149.5,148.25,148.75,863,275999,41095634.5
9 APR 2026,149.5,149.75,148,149,658,188705,28045373.5
8 APR 2026,149.5,150.75,148.5,149.25,1107,838849,125331389.25
7 APR 2026,147.75,147.75,146,146.25,497,155861,22824235.5
6 APR 2026,146.5,147.25,143.25,146,1765,913924,132602158.25
2 APR 2026,147,147.5,145.25,146.5,1010,364846,53428423
31 MAR 2026,148,148,144,145.25,3746,1495011,218479776.25
30 MAR 2026,156.5,156.5,154,155.5,1298,2012543,312544594
27 MAR 2026,157,158.25,155.75,156.25,728,553158,86608804.25
26 MAR 2026,158,159,155,156.5,738,342375,53689604
25 MAR 2026,157.25,160.25,157.25,158,967,956045,151539728
24 MAR 2026,153,158.5,153,155.75,879,1032046,161005992.25
23 MAR 2026,150,152.25,147,151.25,854,537146,80926485.25
20 MAR 2026,146.25,152.25,146,151.5,763,459547,68585968
19 MAR 2026,149,149.5,146,146.75,1618,1083525,159481575.5
18 MAR 2026,149.5,150,147,148.5,1741,771247,114157808.5
17 MAR 2026,150,152.5,149,149.25,1574,1140198,171164726.5
16 MAR 2026,150.25,153,149.5,150.75,2048,1256960,189247507
13 MAR 2026,154,154.5,151.25,153,1198,591711,90215321.25
12 MAR 2026,155.75,155.75,153.75,154.25,896,1077148,166644482.75
11 MAR 2026,155.25,157.75,155,156,583,639085,99702134.25
10 MAR 2026,150.5,156,150.5,155.25,1054,622245,95925178.75
9 MAR 2026,150,155,149.75,150.25,3713,3836058,576621525.25
6 MAR 2026,158,158,155,155.5,1281,718213,111767216.75
5 MAR 2026,158,159.5,156.75,156.75,1155,789167,124395926
4 MAR 2026,153.75,159.5,153.25,157,1446,831835,130780886.75
3 MAR 2026,153,157.75,150,154,3625,2116043,326960169.75
27 FEB 2026,160.5,161,160,160.75,926,2506248,402978654
26 FEB 2026,160.75,161.5,160.5,160.5,768,1740591,279446194
