Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
8 MAY 2026,90.9,91,89.1,90.9,35,5991,541054.7
7 MAY 2026,90.4,91.5,90.4,90.9,44,4719,428801
6 MAY 2026,89,91,89,90.4,21,1275,115207.5
5 MAY 2026,89.4,91.5,89,91,33,4645,418306.8
4 MAY 2026,88.3,89.9,88,89.6,45,6366,569321.8
30 APR 2026,89.9,89.9,88,88.3,56,6922,613516.1
29 APR 2026,88.5,90,88.5,89,64,16718,1484969.7
28 APR 2026,90.9,90.9,89.9,90,32,1027,92533.2
27 APR 2026,91,91,89.5,90,42,28457,2560913.6
24 APR 2026,89.5,91,89.4,89.8,22,11411,1026515
23 APR 2026,90.5,91,89.9,90,56,30997,2791894
22 APR 2026,90,90.9,89.8,89.8,37,3462,311859.5
21 APR 2026,90.9,90.9,89.3,90,20,1010,90588.2
20 APR 2026,90,90.1,89.5,89.6,44,31162,2803494.4
17 APR 2026,90,90,89.7,89.8,47,13678,1229515.4
16 APR 2026,90,90,89.8,90,34,4504,405240.5
15 APR 2026,89.9,90,89.8,89.9,22,8072,726305
10 APR 2026,89,90,86,87.6,59,9983,885267.6
9 APR 2026,91,91,88,90.1,31,1543,138974.2
8 APR 2026,86,92,85.9,89,56,5470,490903.7
7 APR 2026,83.1,86,83.1,85,23,5653,479935.5
6 APR 2026,83.4,84,83,83.2,41,15044,1252228.9
2 APR 2026,83,83.5,82.9,83.3,22,1345,111921.9
31 MAR 2026,84,84,80.1,80.6,22,7823,633722.5
30 MAR 2026,85,85,80,80.9,133,21619,1740124.8
27 MAR 2026,82.1,85,82,82.1,47,13056,1072719.8
26 MAR 2026,86.4,86.4,82,82.1,52,66220,5436513.7
25 MAR 2026,83,86.4,82,82.2,105,161252,13288944.4
24 MAR 2026,83.9,84,81.1,83,50,20748,1729690.3
23 MAR 2026,82,82.5,80,80.1,78,65161,5222813.7
20 MAR 2026,82,83,80,82.8,47,25134,2029283.7
19 MAR 2026,83,85.4,80,81.2,66,23835,1914693.5
18 MAR 2026,83,86.3,80,83,116,33670,2730126.9
17 MAR 2026,86.7,88.4,80,82,145,29518,2453129.5
16 MAR 2026,86,87,80,86.5,141,24539,2054737
13 MAR 2026,89,89,85.5,86.2,60,6407,553169.3
12 MAR 2026,88,89.5,85.5,88.3,42,6278,547530.7
11 MAR 2026,89,90,87.4,87.6,46,7047,622956.1
10 MAR 2026,87,90,87,87.9,31,4307,378292.3
9 MAR 2026,87.6,87.6,85.5,87,75,14849,1282636.9
6 MAR 2026,87.8,87.8,87,87.1,60,10360,902285.9
5 MAR 2026,87.9,87.9,87,87,69,23943,2084406.7
4 MAR 2026,87,87.9,87,87.8,43,4474,392856.5
3 MAR 2026,88.2,88.2,85.2,87,112,27701,2409207.4
27 FEB 2026,89.5,90,89,89.2,44,5683,507739.9
26 FEB 2026,90,90,89,89.6,38,7687,688609.9
25 FEB 2026,90,90,89,89.8,31,9795,878331.1
24 FEB 2026,89.1,90,89,89.7,53,4475,399284.4
23 FEB 2026,90,90,89.5,89.9,28,2543,228053.5
20 FEB 2026,89.5,90,89.2,89.5,47,16975,1519190.3
19 FEB 2026,89.5,89.5,89.1,89.3,31,4433,396315.4
18 FEB 2026,89.5,89.5,88.9,89.1,41,5592,497863.8
17 FEB 2026,89.4,89.9,89,89.3,48,8660,774836.4
16 FEB 2026,88.1,89.9,88.1,89.1,43,5925,527856.2
13 FEB 2026,89,89.9,88,88.1,129,26425,2336606.4
12 FEB 2026,89.2,89.4,88.9,89.1,56,14553,1296624.4
11 FEB 2026,89.1,89.9,88.3,88.6,115,16054,1424782.6
10 FEB 2026,90,90,89.1,89.9,45,3832,344257.5
9 FEB 2026,89.9,90,89,89,62,25565,2289689.6
6 FEB 2026,88.9,89.8,88.7,88.9,59,24702,2194924
5 FEB 2026,89.8,89.8,88,88.9,152,48960,4344821.6
3 FEB 2026,90,90,89,89.8,108,18810,1678794.8
2 FEB 2026,90.1,90.3,89.9,89.9,51,24599,2215518.5
30 JAN 2026,90.2,90.2,90,90.1,48,6237,561807
29 JAN 2026,90,90.2,90,90.2,27,5556,500274.6
28 JAN 2026,90.9,90.9,89,90.2,84,114539,10199248.6
27 JAN 2026,90.5,90.9,90,90.6,38,1360,123109.3
26 JAN 2026,90.4,91,90,90.2,47,8946,810912.7
23 JAN 2026,91.3,91.5,90,90.3,27,4500,406656.3
22 JAN 2026,91.9,91.9,89.5,89.9,93,20786,1869122.8
21 JAN 2026,91,91.5,90,90.5,39,54373,4895030.6
20 JAN 2026,91.5,91.7,90.5,91,47,6659,608659.4
19 JAN 2026,91.8,91.8,89.3,90.7,92,20536,1848115.1
16 JAN 2026,91.5,91.9,91.5,91.8,39,3643,333803.8
14 JAN 2026,92.3,92.3,90,90.8,63,7141,648483.2
13 JAN 2026,92.7,92.7,91.8,92.3,50,6581,606474.9
12 JAN 2026,92.4,93,90,90.6,88,14196,1300040
9 JAN 2026,90,93.6,89,92.3,85,22253,2021657.1
8 JAN 2026,90,92,89,89.4,158,37095,3323648.4
6 JAN 2026,90,90,89.8,90,63,19963,1796330.9
5 JAN 2026,90,90,89.2,90,88,33039,2964666.6
2 JAN 2026,90,90,89,90,68,34600,3096095.2
31 DEC 2025,90,90,89,89.6,53,9595,858684.9
30 DEC 2025,89.8,90,89,89.1,43,4060,363685.6
29 DEC 2025,90,90,89,89.6,52,6270,561282
26 DEC 2025,89.8,90,89,89.1,44,4408,394527.6
24 DEC 2025,89.8,89.8,88.3,88.8,87,10825,962016.2
23 DEC 2025,89.9,89.9,89.1,89.3,49,22348,2001939
22 DEC 2025,90,90.9,89.5,89.8,51,3850,346119.6
19 DEC 2025,90.5,90.5,89.9,90,20,1871,168385.5
18 DEC 2025,91,91,89,90.2,67,6282,566465.4
17 DEC 2025,91.5,91.5,89.9,90.4,31,12220,1100210.4
16 DEC 2025,89.1,90.9,89,90.2,57,14109,1266037.2
15 DEC 2025,90,91,89,90,72,16048,1441471.8
12 DEC 2025,90,90,89.8,89.9,62,31500,2834806.9
11 DEC 2025,90.9,91.5,89.1,89.9,61,2688,241737
10 DEC 2025,90,90,89,89.2,90,36675,3277443.3
9 DEC 2025,90,90,89,89.6,56,5702,510403.8
8 DEC 2025,89,90.1,88.6,89.9,45,3062,274770.1
5 DEC 2025,91.8,91.8,89,89.2,78,8296,744375.5
3 DEC 2025,90.9,90.9,89.3,89.7,63,14339,1288516
2 DEC 2025,89.9,91,89.4,90.6,58,4147,373968.5
1 DEC 2025,90,90,88,90,100,25221,2254474.8
28 NOV 2025,90.7,91.9,90,91.2,42,11482,1036814.8
27 NOV 2025,91.9,91.9,90.1,91.7,48,11705,1064821.9
26 NOV 2025,91,93.7,91,91.8,42,5666,518834.2
25 NOV 2025,91.4,91.5,89.5,91,64,5706,513997.2
24 NOV 2025,91.4,91.4,89,90.7,108,20870,1884471.7
21 NOV 2025,91.3,91.4,90.2,91.3,70,13405,1213349.3
20 NOV 2025,91.5,91.5,90.5,91.3,31,54752,5001667.3
19 NOV 2025,91.5,91.5,90,91.2,129,15384,1394809.5
18 NOV 2025,92,92.5,90.6,91.4,53,4073,372004
17 NOV 2025,92.9,92.9,90.8,91.1,118,14668,1343850
14 NOV 2025,92.5,92.8,91,92.8,80,32796,3017993.6
13 NOV 2025,91.8,93,91.8,92.1,50,4459,411109.3
12 NOV 2025,93.8,93.8,91.9,92.6,133,24524,2262624.4
11 NOV 2025,93.7,94,93.3,93.5,59,8086,756885.9
10 NOV 2025,94,94,92.8,93.6,46,14336,1344275.9
7 NOV 2025,94,94,92.8,93.7,106,44059,4117681.6
6 NOV 2025,93.9,94,93.2,94,54,7648,717170.3
4 NOV 2025,93.5,94.2,93.1,93.7,28,5762,541436.7
3 NOV 2025,92.9,95,92,93.1,67,13383,1260455
31 OCT 2025,92.9,93,91.5,92,79,14642,1343255
30 OCT 2025,93,93,91.5,91.8,124,18179,1666552
29 OCT 2025,93.1,93.3,91.6,91.8,90,36437,3361858.3
28 OCT 2025,92.5,93,90.7,90.7,171,48348,4399694.6
27 OCT 2025,93.9,93.9,90.6,92,155,31174,2846462
24 OCT 2025,94,94,92.1,92.8,126,77452,7191545.2
23 OCT 2025,92.5,94,92.5,92.9,67,128823,11961988.1
22 OCT 2025,94,94.5,92.4,92.5,212,62313,5779020.1
21 OCT 2025,94.5,94.5,93.1,93.3,91,20737,1940641.6
17 OCT 2025,93.5,94.7,93,93.2,101,15113,1410579.9
16 OCT 2025,94.5,94.9,93.1,93.5,78,21044,1967879
15 OCT 2025,94.2,94.9,93,93.2,128,27487,2567039.5
14 OCT 2025,94.1,94.1,93.5,93.9,81,19033,1788482.4
13 OCT 2025,93.3,94.9,93.3,94.5,88,32089,3022853.3
10 OCT 2025,93.1,94,93,93.3,98,29594,2755333.5
9 OCT 2025,94,94,93.5,93.6,104,22676,2124891.2
